buyer_name_normalized,n_notices,n_sirets,n_sirens,n_departments,n_buyer_keys,n_active_years,first_year,last_year,activity_level,example_sirets,example_sirens,example_departments,example_buyer_keys,is_generic_name,same_siren_different_sirets,different_sirens,department_consistent_mapping,department_conflicting_mapping,ambiguity_class
commune de saint michel chef chef,5,1,1,1,2,4,2017,2023,6-20,21440182000011,214401820,44,NAME:commune de saint michel chef chef;SIRET:21440182000011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de sille-le-philippe,5,1,1,1,2,2,2024,2025,2-5,21720335500011,217203355,72,NAME:commune de sille-le-philippe;SIRET:21720335500011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune des lucs sur boulogne,5,1,1,1,2,2,2017,2018,2-5,21850129400019,218501294,85,NAME:commune des lucs sur boulogne;SIRET:21850129400019,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ddt - indre-et-loire,5,1,1,1,2,4,2017,2022,2-5,11000201100044,110002011,37,NAME:ddt - indre-et-loire;SIRET:11000201100044,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
eplefpa la germiniere,5,1,1,1,2,3,2024,2026,2-5,19720010800011,197200108,72,NAME:eplefpa la germiniere;SIRET:19720010800011,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
etablissement public foncier de loire-atlantique,5,1,1,1,2,2,2024,2025,2-5,75407847500045,754078475,44,NAME:etablissement public foncier de loire-atlantique;SIRET:75407847500045,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
france velo tourisme,5,1,1,1,2,3,2017,2025,2-5,51532951400035,515329514,44,NAME:france velo tourisme;SIRET:51532951400035,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
gie laval mayenne amenagements,5,1,1,1,2,4,2017,2025,2-5,82027569100013,820275691,53,NAME:gie laval mayenne amenagements;SIRET:82027569100013,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
grand port maritime nantes saint-nazaire,5,1,1,1,2,1,2025,2025,2-5,77560485300041,775604853,44,NAME:grand port maritime nantes saint-nazaire;SIRET:77560485300041,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
les ports de loire-atlantique,5,1,1,1,2,2,2025,2026,2-5,20009100700043,200091007,44,NAME:les ports de loire-atlantique;SIRET:20009100700043,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
lycee auguste et jean renoir,5,1,1,1,2,4,2015,2020,2-5,19492061700017,194920617,49,NAME:lycee auguste et jean renoir;SIRET:19492061700017,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de gorges,5,1,1,1,2,5,2017,2024,2-5,21440064000048,214400640,44,NAME:mairie de gorges;SIRET:21440064000048,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de mouzillon,5,1,1,1,2,3,2016,2020,2-5,21440108500011,214401085,44,NAME:mairie de mouzillon;SIRET:21440108500011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de rene,5,1,1,1,2,3,2022,2024,2-5,21720251400014,217202514,72,NAME:mairie de rene;SIRET:21720251400014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
oryon,5,1,1,1,2,2,2024,2025,6-20,54705014600034,547050146,85,NAME:oryon;SIRET:54705014600034,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
oti pays de saint gilles croix de vie,5,1,1,1,2,3,2019,2023,2-5,51947722800018,519477228,85,NAME:oti pays de saint gilles croix de vie;SIRET:51947722800018,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sas vendee grand littoral energie,5,1,1,1,2,2,2025,2026,2-5,91079229000017,910792290,85,NAME:sas vendee grand littoral energie;SIRET:91079229000017,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
service commande publique,5,1,1,1,2,2,2024,2025,2-5,21440131700018,214401317,44,NAME:service commande publique;SIRET:21440131700018,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
service public de l eau - an dour,5,1,1,1,2,2,2023,2025,2-5,97787458500010,977874585,29,NAME:service public de l eau - an dour;SIRET:97787458500010,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sgcd loire-atlantique,5,1,1,1,2,1,2023,2023,2-5,13002456800018,130024568,44,NAME:sgcd loire-atlantique;SIRET:13002456800018,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sicab,5,1,1,1,2,4,2020,2026,2-5,20003449400019,200034494,49,NAME:sicab;SIRET:20003449400019,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
syndicat intercommunal d energies de maine-et-loire,5,1,1,1,2,2,2024,2025,2-5,25490130900032,254901309,49,NAME:syndicat intercommunal d energies de maine-et-loire;SIRET:25490130900032,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
syndicat layon aubance louets,5,1,1,1,2,4,2019,2023,2-5,20005835200036,200058352,49,NAME:syndicat layon aubance louets;SIRET:20005835200036,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
vallons de haute bretagne communaute,5,1,1,1,2,2,2023,2025,2-5,20004399000015,200043990,35,NAME:vallons de haute bretagne communaute;SIRET:20004399000015,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
ville d indre 44,5,1,1,1,2,2,2025,2026,2-5,21440074900013,214400749,44,NAME:ville d indre 44;SIRET:21440074900013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ville de getigne,5,1,1,1,2,4,2016,2022,6-20,21440063200011,214400632,44,NAME:ville de getigne;SIRET:21440063200011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ville de la menitre,5,1,1,1,2,2,2018,2019,2-5,21490201700018,214902017,49,NAME:ville de la menitre;SIRET:21490201700018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
caf de la somme,4,1,1,1,2,3,2016,2019,2-5,77571079100077,775710791,80,NAME:caf de la somme;SIRET:77571079100077,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cda la rochelle,4,1,1,1,2,1,2018,2018,2-5,24170043400020,241700434,17,NAME:cda la rochelle;SIRET:24170043400020,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
centre de gestion de la fonction publique territoriale de la vendee 85,4,1,1,1,2,2,2024,2025,6-20,28850002800023,288500028,85,NAME:centre de gestion de la fonction publique territoriale de la vendee 85;SIRET:28850002800023,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
centre hospitalier j monod,4,1,1,1,2,1,2026,2026,2-5,26610057700011,266100577,14,NAME:centre hospitalier j monod;SIRET:26610057700011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
cholet sports loisirs,4,1,1,1,2,2,2025,2026,2-5,43995061900098,439950619,49,NAME:cholet sports loisirs;SIRET:43995061900098,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cias de la roche-sur-yon 85,4,1,1,1,2,3,2024,2026,2-5,20009665900012,200096659,85,NAME:cias de la roche-sur-yon 85;SIRET:20009665900012,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cias du pays de saint gilles croix de vie 85,4,1,1,1,2,1,2025,2025,2-5,20006126500019,200061265,85,NAME:cias du pays de saint gilles croix de vie 85;SIRET:20006126500019,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cnfpt - inset angers,4,1,1,1,2,3,2024,2026,2-5,18001404502245,180014045,49,NAME:cnfpt - inset angers;SIRET:18001404502245,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
communaute de communes du bocage mayennais 53,4,1,1,1,2,1,2025,2025,2-5,24530038900039,245300389,53,NAME:communaute de communes du bocage mayennais 53;SIRET:24530038900039,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
communaute de communes du loir,4,1,1,1,2,1,2015,2015,2-5,24490092400055,244900924,49,NAME:communaute de communes du loir;SIRET:24490092400055,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de celle-l evescault,4,1,1,1,2,4,2017,2020,2-5,21860045000017,218600450,86,NAME:commune de celle-l evescault;SIRET:21860045000017,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de frehel,4,1,1,1,2,3,2021,2024,2-5,21220179200018,212201792,22,NAME:commune de frehel;SIRET:21220179200018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de gennes-val-de-loire,4,1,1,1,2,3,2020,2024,2-5,20007554700014,200075547,49,NAME:commune de gennes-val-de-loire;SIRET:20007554700014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de l epine,4,1,1,1,2,3,2017,2023,2-5,21850083300015,218500833,85,NAME:commune de l epine;SIRET:21850083300015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de la verrie,4,1,1,1,2,4,2015,2019,2-5,21850302700011,218503027,85,NAME:commune de la verrie;SIRET:21850302700011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de le pallet,4,1,1,1,2,2,2021,2023,2-5,21440117600018,214401176,44,NAME:commune de le pallet;SIRET:21440117600018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de lys-haut-layon,4,1,1,1,2,2,2024,2025,2-5,20005947500018,200059475,49,NAME:commune de lys-haut-layon;SIRET:20005947500018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de magne,4,1,1,1,2,3,2016,2022,2-5,21790162800016,217901628,79,NAME:commune de magne;SIRET:21790162800016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de renaze,4,1,1,1,2,3,2018,2023,2-5,21530188800016,215301888,53,NAME:commune de renaze;SIRET:21530188800016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint colomban 44,4,1,1,1,2,2,2024,2025,2-5,21440155600011,214401556,44,NAME:commune de saint colomban 44;SIRET:21440155600011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint denis la chevasse,4,1,1,1,2,3,2019,2024,2-5,17440005100010,174400051,85,NAME:commune de saint denis la chevasse;SIRET:17440005100010,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint etienne du bois,4,1,1,1,2,2,2023,2024,2-5,21850210200013,218502102,85,NAME:commune de saint etienne du bois;SIRET:21850210200013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint hilaire de riez,4,1,1,1,2,1,2025,2025,2-5,21850226800012,218502268,85,NAME:commune de saint hilaire de riez;SIRET:21850226800012,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint-molf,4,1,1,1,2,3,2017,2022,2-5,21440183800013,214401838,44,NAME:commune de saint-molf;SIRET:21440183800013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de sainte anne sur brivet,4,1,1,1,2,1,2017,2017,2-5,21440152300011,214401523,44,NAME:commune de sainte anne sur brivet;SIRET:21440152300011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de sainte gemmes sur loire,4,1,1,1,2,2,2022,2023,2-5,21490278500010,214902785,49,NAME:commune de sainte gemmes sur loire;SIRET:21490278500010,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de spay,4,1,1,1,2,3,2017,2025,2-5,21720344700016,217203447,72,NAME:commune de spay;SIRET:21720344700016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de thire,4,1,1,1,2,3,2022,2024,2-5,21850290400012,218502904,85,NAME:commune de thire;SIRET:21850290400012,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de vallons-de-l erdre,4,1,1,1,2,2,2022,2023,2-5,20007807900015,200078079,44,NAME:commune de vallons-de-l erdre;SIRET:20007807900015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune des rairies,4,1,1,1,2,3,2015,2024,2-5,21490257900017,214902579,49,NAME:commune des rairies;SIRET:21490257900017,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune du breil-sur-merize,4,1,1,1,2,4,2015,2023,2-5,21720046800015,217200468,72,NAME:commune du breil-sur-merize;SIRET:21720046800015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune rouez en champagne,4,1,1,1,2,2,2015,2016,2-5,21720256300011,217202563,72,NAME:commune rouez en champagne;SIRET:21720256300011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
crous de rennes,4,1,1,1,2,3,2015,2018,2-5,18350003200010,183500032,35,NAME:crous de rennes;SIRET:18350003200010,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cte de cnes du pays flechois,4,1,1,1,2,1,2016,2016,2-5,24720034800040,247200348,72,NAME:cte de cnes du pays flechois;SIRET:24720034800040,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
departement de la vienne,4,1,1,1,2,2,2025,2026,2-5,22860001100016,228600011,16,NAME:departement de la vienne;SIRET:22860001100016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ehpad ernest guerin,4,1,1,1,2,3,2015,2023,2-5,26850034500023,268500345,85,NAME:ehpad ernest guerin;SIRET:26850034500023,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
epms le littoral 55 avenue de bodon 44250 st brevin les pins,4,1,1,1,2,2,2024,2025,2-5,26440301500011,264403015,44,NAME:epms le littoral 55 avenue de bodon 44250 st brevin les pins;SIRET:26440301500011,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
epsms du pays de challans,4,1,1,1,2,4,2017,2025,2-5,26850276200019,268502762,85,NAME:epsms du pays de challans;SIRET:26850276200019,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
giba 49,4,1,1,1,2,2,2022,2023,2-5,26490670200016,264906702,49,NAME:giba 49;SIRET:26490670200016,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
gip loire estuaire,4,1,1,1,2,4,2016,2026,2-5,18440920900014,184409209,44,NAME:gip loire estuaire;SIRET:18440920900014,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
grand port maritime de nantes saint nazaire,4,1,1,1,2,2,2024,2025,2-5,43793760000033,437937600,44,NAME:grand port maritime de nantes saint nazaire;SIRET:43793760000033,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
lycee aristide briand,4,1,1,1,2,2,2022,2024,2-5,19440069300017,194400693,44,NAME:lycee aristide briand;SIRET:19440069300017,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
lycee professionnel de rompsay,4,1,1,1,2,3,2022,2024,2-5,17860004500029,178600045,17,NAME:lycee professionnel de rompsay;SIRET:17860004500029,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
lycee rosa parks,4,1,1,1,2,3,2023,2025,2-5,19850027400016,198500274,85,NAME:lycee rosa parks;SIRET:19850027400016,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de geneston,4,1,1,1,2,3,2016,2022,2-5,21440223200018,214402232,44,NAME:mairie de geneston;SIRET:21440223200018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de loue,4,1,1,1,2,3,2021,2023,2-5,21720168000014,217201680,72,NAME:mairie de loue;SIRET:21720168000014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de saint biez en belin,4,1,1,1,2,4,2015,2023,2-5,21720268800016,217202688,72,NAME:mairie de saint biez en belin;SIRET:21720268800016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de saint joachim,4,1,1,1,2,3,2015,2017,2-5,21440168900010,214401689,44,NAME:mairie de saint joachim;SIRET:21440168900010,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie de savennieres,4,1,1,1,2,2,2015,2022,2-5,21490329600017,214903296,49,NAME:mairie de savennieres;SIRET:21490329600017,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
mairie st julien de concelles,4,1,1,1,2,2,2024,2025,6-20,21440169700013,214401697,44,NAME:mairie st julien de concelles;SIRET:21440169700013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ministere de l ecologie,4,1,1,1,2,1,2023,2023,2-5,12006701200027,120067012,92,NAME:ministere de l ecologie;SIRET:12006701200027,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
parc de loisirs du lac de maine,4,1,1,1,2,2,2024,2026,2-5,42863234300011,428632343,49,NAME:parc de loisirs du lac de maine;SIRET:42863234300011,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
s i a e p de conlie,4,1,1,1,2,3,2020,2022,2-5,20005876600029,200058766,72,NAME:s i a e p de conlie;SIRET:20005876600029,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
s y m b o l i,4,1,1,1,2,3,2015,2023,2-5,20007788100015,200077881,49,NAME:s y m b o l i;SIRET:20007788100015,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sa le foyer,4,1,1,1,2,3,2015,2017,2-5,56182048100019,561820481,17,NAME:sa le foyer;SIRET:56182048100019,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
saepa de la region de connerre,4,1,1,1,2,3,2016,2025,2-5,25720078200015,257200782,72,NAME:saepa de la region de connerre;SIRET:25720078200015,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sarthe numerique,4,1,1,1,2,3,2024,2026,2-5,25720243200015,257202432,72,NAME:sarthe numerique;SIRET:25720243200015,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sasu fnccr,4,1,1,1,2,1,2024,2024,2-5,17750111101763,177501111,75,NAME:sasu fnccr;SIRET:17750111101763,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
scom de l est vendeen 85,4,1,1,1,2,2,2024,2025,2-5,25850065100041,258500651,85,NAME:scom de l est vendeen 85;SIRET:25850065100041,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sdis 53,4,1,1,1,2,2,2024,2025,2-5,28530001800030,285300018,53,NAME:sdis 53;SIRET:28530001800030,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
spl bois energie renouvelable,4,1,1,1,2,2,2025,2026,2-5,17350111500088,173501115,22,NAME:spl bois energie renouvelable;SIRET:17350111500088,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
sydeva,4,1,1,1,2,2,2025,2026,2-5,25490002000036,254900020,49,NAME:sydeva;SIRET:25490002000036,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
terra botanica,4,1,1,1,2,3,2015,2022,2-5,49339320100022,493393201,49,NAME:terra botanica;SIRET:49339320100022,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
u i o s s,4,1,1,1,2,2,2015,2023,2-5,78632898900029,786328989,72,NAME:u i o s s;SIRET:78632898900029,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
uioss angers,4,1,1,1,2,3,2023,2025,2-5,50370890100015,503708901,49,NAME:uioss angers;SIRET:50370890100015,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
universite francois rabelais de tours,4,1,1,1,2,2,2018,2023,2-5,19370800500478,193708005,37,NAME:universite francois rabelais de tours;SIRET:19370800500478,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ville de murs erigne 49,4,1,1,1,2,2,2024,2025,2-5,21490223100148,214902231,49,NAME:ville de murs erigne 49;SIRET:21490223100148,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
ville de saint julien de concelles,4,1,1,1,2,3,2024,2026,6-20,21440169700013,214401697,44,NAME:ville de saint julien de concelles;SIRET:21440169700013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
agence regionale de sante ars,3,1,1,1,2,2,2021,2022,2-5,13000807100123,130008071,69,NAME:agence regionale de sante ars;SIRET:13000807100123,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
ageps aphp,3,1,1,1,2,2,2022,2023,2-5,26750045201928,267500452,75,NAME:ageps aphp;SIRET:26750045201928,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
btp cfa centre,3,1,1,1,2,3,2023,2026,2-5,45072478600030,450724786,45,NAME:btp cfa centre;SIRET:45072478600030,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
carsat bretagne,3,1,1,1,2,2,2024,2025,2-5,77774932600149,777749326,35,NAME:carsat bretagne;SIRET:77774932600149,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cc des vallees de la braye et anille,3,1,1,1,2,2,2017,2020,2-5,20007269200011,200072692,72,NAME:cc des vallees de la braye et anille;SIRET:20007269200011,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
ccas reze,3,1,1,1,2,1,2024,2024,2-5,26440043300019,264400433,44,NAME:ccas reze;SIRET:26440043300019,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
cctoval,3,1,1,1,2,2,2022,2023,2-5,20007298100018,200072981,37,NAME:cctoval;SIRET:20007298100018,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
centre hospitalier layon-aubance,3,1,1,1,2,2,2016,2017,2-5,26490046500016,264900465,49,NAME:centre hospitalier layon-aubance;SIRET:26490046500016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
chambre d agriculture de la mayenne,3,1,1,1,2,2,2016,2021,2-5,18530045600026,185300456,53,NAME:chambre d agriculture de la mayenne;SIRET:18530045600026,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
chambre de commerce et d industrie de maine et loire,3,1,1,1,2,2,2024,2026,2-5,13000460900017,130004609,49,NAME:chambre de commerce et d industrie de maine et loire;SIRET:13000460900017,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
chu de nantes represente par la soderec mandataire agissant au nom et pour le compte du maitre d ouvrage,3,1,1,1,2,2,2024,2025,2-5,05680065900155,056800659,44,NAME:chu de nantes represente par la soderec mandataire agissant au nom et pour le compte du maitre d ouvrage;SIRET:05680065900155,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune d angles,3,1,1,1,2,2,2021,2023,2-5,21850004900018,218500049,85,NAME:commune d angles;SIRET:21850004900018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune d argentre,3,1,1,1,2,2,2022,2026,2-5,21530007000111,215300070,53,NAME:commune d argentre;SIRET:21530007000111,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de bellevigne en layon,3,1,1,1,2,2,2017,2021,2-5,20005521800016,200055218,49,NAME:commune de bellevigne en layon;SIRET:20005521800016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de bouchemaine,3,1,1,1,2,2,2025,2026,2-5,21490035900016,214900359,49,NAME:commune de bouchemaine;SIRET:21490035900016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de chanverrie,3,1,1,1,2,3,2021,2024,2-5,20008500900013,200085009,85,NAME:commune de chanverrie;SIRET:20008500900013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de chateauneuf,3,1,1,1,2,2,2021,2022,2-5,21850062700011,218500627,85,NAME:commune de chateauneuf;SIRET:21850062700011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de coex 85,3,1,1,1,2,2,2024,2025,2-5,21850070000016,218500700,85,NAME:commune de coex 85;SIRET:21850070000016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de conlie,3,1,1,1,2,3,2017,2024,2-5,21720089800013,217200898,72,NAME:commune de conlie;SIRET:21720089800013,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de corcoue sur logne,3,1,1,1,2,2,2018,2025,2-5,21440156400015,214401564,44,NAME:commune de corcoue sur logne;SIRET:21440156400015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de duneau,3,1,1,1,2,3,2022,2024,2-5,21720122700014,217201227,72,NAME:commune de duneau;SIRET:21720122700014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de fay de bretagne,3,1,1,1,2,3,2020,2025,2-5,21440056600011,214400566,44,NAME:commune de fay de bretagne;SIRET:21440056600011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de jard sur mer,3,1,1,1,2,2,2017,2023,2-5,21850114600011,218501146,85,NAME:commune de jard sur mer;SIRET:21850114600011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de langon,3,1,1,1,2,2,2022,2023,2-5,21350145500017,213501455,35,NAME:commune de langon;SIRET:21350145500017,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de luche-pringe,3,1,1,1,2,3,2020,2023,2-5,21720175500014,217201755,72,NAME:commune de luche-pringe;SIRET:21720175500014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de montaigu-vendee,3,1,1,1,2,2,2025,2026,21+,20008111500012,200081115,85,NAME:commune de montaigu-vendee;SIRET:20008111500012,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de nivillac,3,1,1,1,2,2,2023,2024,2-5,21560147700189,215601477,56,NAME:commune de nivillac;SIRET:21560147700189,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de ploemeur,3,1,1,1,2,2,2019,2020,2-5,21560162600017,215601626,56,NAME:commune de ploemeur;SIRET:21560162600017,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint augustin des bois,3,1,1,1,2,2,2015,2022,2-5,21490266000015,214902660,49,NAME:commune de saint augustin des bois;SIRET:21490266000015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint cosme-en-vairais,3,1,1,1,2,2,2015,2018,2-5,21720276100011,217202761,72,NAME:commune de saint cosme-en-vairais;SIRET:21720276100011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint-celerin,3,1,1,1,2,1,2024,2024,2-5,21720271200048,217202712,72,NAME:commune de saint-celerin;SIRET:21720271200048,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint-just-luzac,3,1,1,1,2,2,2022,2023,2-5,21170351700014,211703517,17,NAME:commune de saint-just-luzac;SIRET:21170351700014,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint-pierre-la-cour,3,1,1,1,2,2,2025,2026,2-5,21530247200018,215302472,53,NAME:commune de saint-pierre-la-cour;SIRET:21530247200018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de saint-vincent-sur-graon,3,1,1,1,2,3,2021,2024,2-5,21850277100015,218502771,85,NAME:commune de saint-vincent-sur-graon;SIRET:21850277100015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de st pierre en auge,3,1,1,1,2,1,2022,2022,2-5,20006479800016,200064798,14,NAME:commune de st pierre en auge;SIRET:20006479800016,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de treillieres,3,1,1,1,2,1,2024,2024,2-5,21440209100018,214402091,44,NAME:commune de treillieres;SIRET:21440209100018,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de vaas,3,1,1,1,2,2,2017,2023,2-5,21720364500015,217203645,72,NAME:commune de vaas;SIRET:21720364500015,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune de villeneuve en perseigne,3,1,1,1,2,3,2016,2024,2-5,20004762900163,200047629,72,NAME:commune de villeneuve en perseigne;SIRET:20004762900163,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
commune la turballe,3,1,1,1,2,3,2015,2021,2-5,21440211700011,214402117,44,NAME:commune la turballe;SIRET:21440211700011,True,False,False,True,False,multiple_buyer_keys_no_identifier_split
creha ouest,3,1,1,1,2,3,2019,2022,2-5,32782217700025,327822177,44,NAME:creha ouest;SIRET:32782217700025,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
ecole des beaux arts nantes sn,3,1,1,1,2,1,2025,2025,2-5,20002361200027,200023612,44,NAME:ecole des beaux arts nantes sn;SIRET:20002361200027,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
ehpad residence de fontenay,3,1,1,1,2,2,2020,2024,2-5,26720028500018,267200285,72,NAME:ehpad residence de fontenay;SIRET:26720028500018,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
etat prefecture du morbihan,3,1,1,1,2,1,2021,2021,2-5,11000201100044,110002011,56,NAME:etat prefecture du morbihan;SIRET:11000201100044,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
institut public la persagotiere,3,1,1,1,2,3,2016,2018,2-5,26440270200106,264402702,44,NAME:institut public la persagotiere;SIRET:26440270200106,False,False,False,True,False,multiple_buyer_keys_no_identifier_split
