notice_id,buyer_key,cpv_clean,text_duplicate_group_id,group_size,n_unique_buyers_in_group,n_unique_cpv_in_group,objet_snippet
18-134493,NAME:commune le lude,45234116,19771,2,1,1,amenagement de l'esplanade des ecoles brassens
18-134892,NAME:com d agglo reg nazairienne estuaire,79311000,19773,2,1,1,18s0082 réalisation de diagnostics thermiques de l'habitat privé ancien pour la 
18-135335,NAME:cc loir luce berce,45200000,19774,2,1,1,"construction d'un centre de loisirs sans hébergement, d'un ram et d'un local jeu"
18-130748,NAME:service commun d achats,39500000,19776,2,1,1,"fourniture de literie, linge hôtelier, chausures et vêtements de travail, équipe"
18-130918,NAME:ville de la roche sur yon,39160000,19777,3,1,1,fourniture de mobiliers scolaires
18-131827,NAME:ademe,75310000,19778,2,1,1,programme eve (rectificatif)
18-133090,SIRET:22850001300658,72267100,19780,3,1,1,"maintenance, prestations spécifiques et fournitures associées aux outils busines"
18-133161,NAME:commune de mauges sur loire,77211500,19782,2,1,1,fauchage et élagage sur la voirie communale hors agglomération - programme 2019-
18-132742,NAME:cap atlantique,90512000,19783,2,1,1,collecte et le traitement des déchets diffus spécifiques (dds) non concernés par
18-133815,SIRET:20003329800015,66512000,19784,2,1,2,services d'assurances pour la communauté de communes des coëvrons (53)
18-134122,SIRET:22720002900014,71210000,19785,2,1,1,mission de maitrise d'oeuvre - restructuration partielle de locaux et modernisat
18-124971,SIRET:22490001900015,09130000,19786,2,1,1,fourniture de carburants en stations-service et prestations associées pour les v
18-135177,NAME:sna ouest,90900000,19787,2,1,1,prestations de nettoyage des locaux et fourniture de produits d'hygiène pour les
18-135301,NAME:cci mayenne,90900000,19788,2,1,1,2018rtpf3082
18-134549,SIRET:22490001900015,39130000,19789,3,1,1,fourniture et installation d'équipements mobiliers pour les services du départem
18-101419,SIRET:22490001900015,45214200,19790,2,1,1,"marché public global de performance relatif à la reconstruction du collège "" les"
18-107803,NAME:cte d agglomeration du choletais,45000000,19791,2,1,1,réhabilitation et extension de la résidence autonomie le bosquet a cholet
18-135909,SIRET:21490259500013,92000000,19793,2,1,1,prestations de gestion et d'exploitation de la halte-garderie 'les goganes' et d
18-121958,NAME:chu de nantes,92512000,18303,3,1,1,pprestations d'archivage physique et prestations associées pour le groupement de
18-122390,NAME:semitan,50200000,16505,2,1,1,rénovation de tramways alstom (tfs) de 4e génération
18-122797,NAME:ville de vertou,71000000,17225,3,1,2,concours restreint de maîtrise d'oeuvre sur esquisse pour la réalisation d'un ac
18-122867,NAME:cci de maine et loire,90910000,17650,4,2,1,prestations de nettoyage des locaux et de la vitrerie de la cci de maine et loir
18-123798,NAME:ville de laval,45112100,18307,2,1,1,"travaux de réparation, de rénovation ou d'extension des réseaux éclairage public"
18-124172,NAME:cte cnes du pays de chateau de gontier,34144511,13190,2,1,1,acquisition châssis cabine pour benne de collecte des déchêts
18-126456,NAME:conseil regional des pays de la loire,45311200,16632,2,1,1,travaux d'électricité pour la mise en conformité du système de sécurité incendie
18-127899,NAME:transports publics du choletais,60100000,17745,2,1,1,prestations de transports sur les communes periurbaines de l'adc - transports pu
18-130750,NAME:chu de nantes,71210000,18811,2,1,1,marché d'assistance à maîtrise d'ouvrage (amo) : programmation et conduite d'opé
18-131141,SIRET:12006401900074,32421000,18867,2,1,1,prestation de câblage des infrastructures techniques de la tour de contrôle de b
18-131235,NAME:conseil regional des pays de la loire,60112000,17242,2,1,1,exécution de services réguliers de transport public de voyageurs sur le réseau r
18-127673,NAME:ctre hosp universitaire angers,,19459,2,1,0,realisation de prestations de maintenance preventive et corrective des analyseur
18-134123,NAME:departement de la sarthe,,19800,2,1,1,accompagnement à l'élaboration et la mise en oeuvre de la politique de sécurité 
18-107848,NAME:syndicat trivalis,44221200,17173,3,1,2,travaux de démolition et de reconstruction d'un centre de transfert de déchets m
18-126469,NAME:ville du mans,45212222,18749,2,1,1,création d'une salle de tennis de table et de vestiaires football
18-128389,NAME:ville du mans,44212320,19263,2,1,1,location de structures dans le cadre de la 25ème heure du livre - année 2018 ren
18-128758,NAME:conseil general de la vendee,45233121,18626,2,1,1,"aménagement de la liaison rd746/rd25, rue de l'ancienne gare, sur la commune de "
18-128992,NAME:conseil general de la vendee,45233294,18897,2,1,1,rd 752 - déviation sud de saint michel mont mercure - équipements de sécurité
18-132535,NAME:ville du mans,45112500,17942,2,1,1,réalisation d'un terrain de football en gazon synthétique - complexe sportif de 
18-107726,NAME:syndicat trivalis,45112500,18097,2,1,1,travaux d'aménagement des casiers bioréacteurs cb7 et cb8 sur l'installation de 
18-121822,SIRET:22850001300658,44811000,19802,10,3,2,fourniture et livraison de produits de marquage routier
18-106439,NAME:la roche-sur-yon agglomeration,90714000,19803,2,1,1,contrôle des installations d'assainissement non collectif existantes de la roche
18-123260,NAME:mairie de la chapelle sur erdre,66512000,19804,2,1,1,prestation d'assurance des risques statutaires ville et capellia
18-121709,NAME:ville de nantes,34928400,19805,2,1,1,fourniture de mobiliers urbains pour les services de la ville de nantes et de na
18-123721,NAME:communaute de communes de sable,90511000,19806,2,1,1,"collecte en apport volontaire du verre, des ordures ménagères et des emballages"
18-120460,NAME:nantes metropole,45223220,19807,2,1,1,extension du parking p+r de la neustrie à bouguenais; reconsultation des lots 2-
18-125257,NAME:chu de nantes,55330000,18652,2,1,1,"concessions de service pour l'exploitation de cafeterias restauration rapide, de"
18-128181,NAME:chu de nantes,50700000,19222,3,1,1,accord cadre de maintenance d'installations techniques (6 lots)
18-126376,NAME:ademe,75310000,19809,2,1,1,assister l'ademe dans le cadre du programme eve engagements volontaires pour l'e
18-128769,SIRET:24850066200015,64200000,19810,2,2,1,fournitures et services de télécommunications
18-129937,NAME:nantes metropole,71311200,19812,2,1,1,étude d'exploitation pour la future gare routière du pôle d'échanges multimodal 
18-123253,NAME:communaute de communes de grand lieu,45232410,19814,2,1,1,travaux d'assainissement des eaux usées sur la commune de saint philbert de gran
18-124406,NAME:centre hospitalier de saumur,,19689,2,1,1,gestion d'un dépôt d'attelles et orthèses au sein du service d'accueil des urgen
18-125695,NAME:conseil departemental loire-atlantique,,9293,3,2,1,revues de presse électroniques
18-126368,NAME:departement de la sarthe,72500000,19817,2,1,1,hébergement datacenter secours du système d'information du département de la sar
18-126420,NAME:ville d ancenis,34928471,19818,2,2,2,fourniture de matériels de signalisation verticale
18-128077,NAME:cour des comptes,45441000,19197,3,1,1,travaux de désamiantage et de réfection de murs rideaux de la chambre régionale 
18-128276,NAME:universite de nantes,45000000,19821,2,1,1,"travaux de rénovation des amphithéâtres c, d et e du bâtiment a de la faculté de"
18-129886,NAME:loire ocean developpement,71200000,19825,3,1,1,mission de maîtrise d'oeuvre pur la construction d'une cour artisanale
18-133752,NAME:departement de la sarthe,45220000,19827,2,1,1,rd no310 - suppression du pn 134 sur la ligne ferroviaire paris - brest à rouess
18-130463,NAME:ville de nantes,44621200,19830,2,2,1,innovation chaufferie numérique pour la transition énergétique
18-133088,SIRET:22850001300658,66133000,19834,2,1,1,fourniture et livraison de titres repas destinés au personnel du conseil départe
18-133569,NAME:conseil departemental loire-atlantique,71300000,19835,2,1,1,assistance à maîtrise d'ouvrage pour opérations de sécurité routière (2018/2022)
18-133774,SIRET:75375682400011,09111400,19836,2,1,1,fourniture de biomasse pour la chaudière bois de la cité sanitaire
18-134201,NAME:cci nantes saint-nazaire,79710000,19837,2,1,1,"marché de sécurité, de gardiennage et de télésurveillance des locaux de la cci n"
18-134699,SIRET:21720181300011,22110000,19838,2,1,1,fourniture d'ouvrages non scolaires - réseau des médiathèques et conservatoire d
18-135082,SIRET:22490001900015,44113310,19839,2,1,1,fourniture de matériaux pour l'entretien de chaussées départementales de maine-e
18-125716,NAME:mancelle d habitation,72000000,19840,2,1,1,externalisation et infogérance du si
18-133302,NAME:ville de nantes,66516000,19841,2,1,1,assurance responsabilité civile et risques annexes
18-123490,SIRET:23440003400026,72212200,10420,175,53,130,a completer
18-125591,NAME:ctre hosp universitaire angers,33000000,18812,2,1,1,"la fourniture, l'installation et la mise en service d'un système d'analyse de la"
18-128188,NAME:chu de nantes,33184500,9848,3,1,1,fourniture de dispositifs médicaux pour matériels de radiologie et consommables 
18-119501,SIRET:20005359300014,77340000,17733,2,1,1,"marché de service pour la prestation d'élagage des haies, broyage des fossés et "
18-130514,NAME:ugecam bretagne - pays de la loire,45000000,18058,4,1,1,93/2018
18-131384,NAME:conseil regional des pays de la loire,79212100,18369,4,2,2,notation financière de la région des pays de la loire
18-131447,NAME:ch le mans,45000000,17397,4,1,1,travaux entretien couverture nettoyages et ramonages
18-131462,NAME:ch le mans,45231112,18550,2,1,1,extension de la production d'eau glacée - centre hospitalier du mans bâtiment al
18-131552,NAME:cif cooperative,45211350,15473,2,1,1,réalisation d'un ensemble immobilier de 45 logements collectif et 12 individuels
18-132611,NAME:vendee expansion,79341400,18557,2,1,1,réalisation de la campagne publicitaire 2019 pour la promotion de la destination
18-133671,NAME:mindef ema dc sca pfaf co rennes,39310000,16985,2,1,1,"location et entretien de fontaines à eau, sur réseau et en bonbonnes, la fournit"
18-132879,NAME:ville de la roche sur yon,15896000,16979,12,5,1,fourniture de produits surgelés
18-122238,NAME:ccas ehpad residence yves cougnaud,98310000,19849,4,1,1,location-entretien d'articles textiles
18-123081,NAME:ch le mans,39291000,19850,2,1,1,produits lessiviels pour blanchisseries industrielles des établissements du ght 
18-123383,NAME:nantes metropole,34351100,19852,2,1,1,acquisition de pneumatiques et réalisation de prestations associées pour les véh
18-125575,NAME:sdis 85,42415320,19041,3,1,1,acquisition d'équipements et aménagements de véhicules du sdis de la vendée
18-126269,SIRET:24720013200014,09135100,19853,2,1,1,fourniture de fioul et super fioul nécessaire au fonctionnement des services de 
18-126265,NAME:commune d ecommoy,66510000,19857,2,1,1,souscription des contrats d'assurance pour la commune d'ecommoy
18-126691,NAME:nantes metropole,45233140,19858,2,1,1,nantes - saint-herblainaxe express vélo - tronçon jacksonville / tertre
18-133028,NAME:loire atlantique developpement,71200000,19863,2,1,1,"marché de maîtrise d'oeuvre urbaine, paysagère, environnementale et en infrastru"
18-130230,NAME:commune de saint-herblain,37400000,19869,2,1,1,acquisition de matériel sportif pour la ville de saint herblain.
18-130781,NAME:commune de mauges sur loire,79311000,19870,2,1,1,"mission d'assistance à maîtrise d'ouvrage pour la programmation, l'élaboration e"
18-130992,NAME:dir ouest,34928100,19871,2,1,1,fourniture et livraison de dispostifs de retenue pour la dir ouest
18-133104,SIRET:24720013200014,34115200,19872,2,1,1,acquisition de matériel de transport nécessaire aufonctionnement des différents 
18-132616,NAME:centre hospitalier de laval,66515200,19873,2,1,1,prestation d assurances dommages aux biens et risques statutaires pour le centre
18-134052,NAME:ch le mans,33696500,19874,4,1,1,biol18-003
18-134465,NAME:sdis 44,35113440,19875,2,1,1,"fourniture de gilets de signalisation haute visibilité, de reconnaissance et de "
18-135173,NAME:universite de nantes,90900000,19876,3,1,1,1825ac - accord-cadre relatif aux prestations de services de mise en propreté et
18-134256,NAME:commune olonne sur mer,66510000,19877,2,1,1,services d'assurance pour le groupement de commande constitué entre les ccas d'o
18-136313,SIRET:21720181300011,55520000,19879,3,1,1,accord cadre relatif aux prestations de traiteur - année 2019 renouvelable en 20
18-136416,SIRET:22850001300658,72267100,19780,3,1,1,"maintenance, prestations spécifiques et fournitures associées aux outils busines"
18-123663,NAME:sdis 44,71200000,14922,2,1,1,concours restreint de maîtrise d'oeuvre sur esquisse pour l'étude et la réalisat
18-127475,NAME:oniris,77310000,7602,40,25,2,entretien des espaces verts
18-128766,NAME:sgami ouest bzamp,50334100,18814,2,1,1,maintenance des installations téléphoniques des sites police et sécurité civile 
18-129133,NAME:ville de carquefou,45211350,14084,2,1,1,concession d'aménagement - ilôt centre ville - carquefou
18-129489,NAME:ecole centrale de nantes,42997300,18255,2,1,1,"fourniture, installation et mise en service d'une cellule robotisée waam pour l'"
18-130130,NAME:ecole centrale de nantes,31120000,19100,2,1,1,"fourniture, installation et mise en service d'un générateur de courant pulsé pou"
18-133347,NAME:cte de cnes du pays d ancenis,19640000,17803,2,1,1,fourniture de sacs jaunes pour la collecte des emballages ménagers recyclables e
18-68881,NAME:ville de saumur,09323000,16295,2,1,1,chauffage urbain du chemin vert - expoitation primaire p2
18-123693,NAME:departement de la sarthe,,19884,2,1,0,organisation et animation de formations à destination des personnelsbénévoles et
18-129725,NAME:mindef sga dcsid esid bordeaux,,19887,2,1,0,fontenay - cmfp - quartier du chaffault remplacement des chauffage gaz bat 82 tr
18-133807,NAME:departement de la mayenne,,19890,2,1,0,assistance à la passation et à la gestion des contrats d'assurances du conseil d
18-134620,NAME:le mans metropole - communaute urbaine,30131400,19706,3,1,1,"location d'une machine à affranchir - année 2019 renouvelable en 2020, 2021, 202"
18-131602,NAME:commune de soullans,,10194,2,2,0,risques statutaires
18-122833,NAME:departement de la vendee,45233162,17773,2,1,1,entretien et de rénovation des corps de chaussée et des revêtements des voies cy
18-123518,NAME:conseil regional des pays de la loire,32354500,16516,3,2,2,réalisation de vidéos 360° et location de supports de diffusion
18-126111,NAME:chu de nantes,79000000,18433,2,1,1,mission de conseil et d'accompagnement en stratégie de communication relative au
18-131723,NAME:ville de la roche sur yon,45231600,18232,2,1,1,travaux de câblage fibre optique et prestations associées
18-135863,NAME:syndicat d eau de l anjou,79311000,19894,2,1,1,etude du patrimoine et schéma directeur eau potable
18-136381,NAME:ugecam bretagne - pays de la loire,45262700,19895,2,1,1,travaux d'aménagement d'un hôpital de jour transitoire pour le pôle de réadaptat
18-124897,NAME:universite de nantes,71000000,19898,2,1,1,mission de maitrise d'oeuvre pour le réaménagement de la bibliothèque universita
18-126248,NAME:universite de nantes,90900000,19876,3,1,1,1825ac - accord-cadre relatif aux prestations de services de mise en propreté et
18-127206,NAME:conseil regional des pays de la loire,45000000,19899,2,1,1,"restructuration du cdi, locaux enseignants et ateliers au lycée joubertmaillard "
18-127620,NAME:chd vendee,33600000,19900,2,1,1,fourniture de médicaments radiopharmaceutiques
18-135028,NAME:mairie du croisic,,19909,2,2,1,fourniture de produits horticoles
18-131587,NAME:commune de soullans,,10315,6,5,1,assurances iard
18-135967,NAME:commune de saint jean de monts,,19910,2,1,0,"evolution infrastructure, serveurs et réseaux"
18-108006,NAME:syndicat trivalis,71336000,17772,2,1,1,mission d'assistance à maîtrise d'ouvrage pour le visa des études et le suivi de
18-126467,NAME:ville du mans,43325000,18087,2,1,1,remplacement de jeux dans diverses écoles
18-126517,NAME:sdis49,34139200,19055,2,1,1,fourniture d'un châssis d'occasion avec équipement pour un véhicule porte-cellul
18-132456,NAME:universite d angers,45300000,18770,2,1,1,la présente consultation porte sur le déploiement de la gtc sur plusieurs sites 
18-130609,NAME:universite de nantes,39130000,19911,2,1,1,fourniture et installation de mobiliers pour l'université de nantes
18-131815,SIRET:21720154000010,15800000,19913,2,1,1,denrées alimentaires 2019 2020
18-131120,SIRET:22490001900015,66133000,19914,2,1,1,emission et livraison de titres restaurant pour les agents du département de mai
18-131971,NAME:uc-irsa,34110000,19915,3,1,1,location en longue durée avec prestations associées et sans option d'achat de vé
18-134100,NAME:communaute de communes de sable,90500000,19916,2,1,1,"enlèvement, transport et traitement des déchets de la déchèterie"
18-134326,NAME:logim,50531100,19917,2,1,1,marché de maintenance
18-136292,NAME:chu nantes,71240000,19918,2,1,1,"marché d'ordonnancement, pilotage et coordination (opc) pour la construction d'u"
18-136351,NAME:syndicat mixte centre nord atlantique,71247000,19919,2,1,1,mission de maîtrise d'oeuvre pour la construction de deux centres de transfert s
18-124746,NAME:departement de la vendee,63110000,19923,2,1,1,"réfection, montage et démontage de structures et décors existants pour la foire "
18-125345,NAME:departement de la vendee,92300000,19543,3,1,1,"location, installation et démontage de décors pour le marché de noël au château "
18-125710,NAME:conseil departemental loire-atlantique,,19924,2,1,0,référencement web et promotion sur les réseaux sociaux
18-127964,NAME:conseil departemental loire-atlantique,,19928,3,1,1,reconstruction du centre départemental enfance familles (cdef) à saint sebastien
18-128761,NAME:commune de preaux,,19931,2,1,0,projet de restauration du clocher de l'église saint martin
18-130048,NAME:cdc du pays de saint gilles cx de vie,90714000,19932,2,1,1,mission de contrôle du service public d'assainissement non collectif (spanc)
18-130635,NAME:ville du mans,45233223,19933,2,1,1,"travaux d'entretien et de restauration de surfaces minérales, d'allées et d'ouvr"
18-126723,NAME:prefecture de la vendee,45110000,19937,2,1,1,travaux de déconstruction de bâtiments d'habitation sur les communes de la faute
18-130092,NAME:sdis49,98312000,19938,2,1,1,prestation d'entretien des tenues de protection textiles (vestes et pantalons ou
18-134187,NAME:conseil general de la vendee,45233121,19940,2,1,1,déviation de mouchamps - section sud rd13 / rd48
18-134792,NAME:gpm de nantes - st nazaire,34521000,19941,2,1,1,fourniture d'une vedette de lamanage
18-122371,NAME:ville de saint berthevin,44111000,17491,2,1,1,"fourniture de matériaux, d'outillage, de quincaillerie et de plantes pour les be"
18-122379,NAME:semitan,50200000,16209,2,1,1,rénovation tramway (tfs) alstom 4ème génération
18-122803,SIRET:77560485300041,45111300,16552,2,1,1,démantèlement de 3 chalands de 400m3 à fond plat
18-121295,NAME:conseil departemental de la mayenne,64200000,18152,2,1,1,"marché de fournitures et abonnements à des services de télécommunications fixes,"
18-124656,NAME:ville de saumur,45112500,17418,2,1,1,aménagement piétonnier du centre-ville : rue franklin roosevelt - place de la bi
18-129648,SIRET:21720181300011,75200000,17409,3,1,1,accord cadre relatif à la logistique dans le cadre des manifestations évènementi
18-130893,NAME:conseil regional des pays de la loire,50324100,18815,2,1,1,maintenance et évolutions des téléservices existants - lot no1 : maintenance et 
18-131434,NAME:ch le mans,45000000,17441,2,1,1,"travaux de petite maconnerie, demolitions, menuiserie, cloisons, plafonds"
18-129715,NAME:departement de la sarthe,,19224,2,1,0,"fourniture, livraison et installation d'un lave-vaisselle à avancement automatiq"
18-129814,NAME:prefecture de la vendee,,19090,2,1,0,travaux d'aménagement de locaux au cfip de challans dans le cadre du transfert d
18-123390,NAME:gpm de nantes - st nazaire,45120000,18948,2,1,1,réalisation de sondages et analyses géotechniques
18-124029,NAME:le mans metropole - communaute urbaine,45232410,19948,2,1,1,travaux d'assainissement - déconnexion du ruisseau du chaumard sur le mans
18-124463,NAME:departement de vendee,90524300,19949,2,1,1,collecte et élimination des déchets biologiques et chimiques du laboratoire de l
18-124810,NAME:conseil departemental loire-atlantique,,19924,2,1,0,référencement web et promotion sur les réseaux sociaux
18-127768,NAME:conseil departemental loire-atlantique,66515000,19954,2,1,1,assurance dommages-ouvrage dans le cadre de la reconstruction du centre départem
18-117290,NAME:syndicat trivalis,71631300,19955,2,1,1,contrôle technique bâtiment et mission de coordination pour la sécurité et la pr
18-128980,NAME:conseil general de la vendee,45233292,19958,2,1,1,rd160 - contournement nord de la roche sur yon - dispositifs de retenue
18-132516,NAME:nantes metropole,34144900,19964,2,1,1,acquisition de quadricycles pour les services de la ville de nantes et de nantes
18-134392,NAME:cdc du pays de saint gilles cx de vie,,19932,2,1,1,mission de contrôle du service public d'assainissement non collectif (spanc)
18-128455,NAME:cte de cnes de l ile de noirmoutier,45232411,19966,3,1,1,restructuration du réseau assurant le transfert des eaux usées collectées sur le
18-135104,NAME:commune de la hague,,19967,2,1,0,assistance à maîtrise d'ouvrage (amo) pour la construction d'une cuisine central
18-135882,NAME:caf de la loire atlantique,09130000,19471,2,1,1,achat de carburant et prestations annexes à l'utilisation des véhicules pour la 
18-124446,NAME:ecole national sup d arts et metiers,,18167,2,1,0,"fourniture, livraison, montage et mise en service de "" deux stockeurs rotatifs m"
18-120102,NAME:ville de la roche sur yon,03120000,19972,4,1,1,fourniture de produits horticoles et de végétaux
18-123430,NAME:creps des pays de la loire,55523100,19973,4,3,1,fourniture de prestations de restauration pour les besoins du creps des pays de 
18-123836,NAME:sdis 44,50700000,19974,2,1,1,maintenance préventive et corrective des portes et portails des bâtiments du sdi
18-124336,NAME:conseil regional des pays de la loire,30237000,19975,2,1,1,achat de petits matériels et consommables informatiques et téléphoniques pour le
18-124735,SIRET:24720013200014,50114100,19977,2,1,1,réparations mécaniques des poids lourds - année 2019 renouvelable en 2020 - 2021
18-127026,SIRET:22850001300658,50340000,19979,2,1,1,maintenance préventive et corrective des équipements audiovisuels et des install
18-127373,NAME:sdis 85,09132000,19980,2,1,1,accord-cadre mono et multi-attributaires portant sur la fourniture de carburants
18-128290,NAME:oniris,90910000,11302,11,6,3,nettoyage des locaux
18-128885,SIRET:23440003400026,30000000,19981,2,1,1,fourniture d'equipements pedagogiques dans les lycees publics de la region des p
18-131218,NAME:service commun d achats,33100000,19983,5,2,2,"fourniture et livraison de dispositifs et matériels médicaux, dasri"
18-128072,NAME:cc challans gois communaute,09134200,19984,3,1,1,fourniture de carburants par système de carte accréditive en station service
18-132306,NAME:ugecam bretagne - pays de la loire,45000000,19985,2,1,1,travaux de construction du pôle de réadaptation de cornouaille sur le site du po
18-132335,NAME:centrale d achat du transport public,09300000,19986,2,1,1,fourniture d'électricité et services associés pour les adhérents de la centrale 
18-133211,NAME:ville de saint sebastien sur loire,55521100,19987,2,1,1,confection et portage de repas à domicile des personnes âgées et/ou handicapées
18-133578,SIRET:23440003400026,79300000,19988,2,1,1,mission d'assistance a maitrise d'ouvrage pour l'etude et la mise en oeuvre d'un
18-122232,NAME:semitan,09134000,14811,2,1,1,fourniture de gazole
18-124410,NAME:commune de nantes,45223220,18337,2,1,1,firmin colas - atelier bois fer - réaménagement du bâtiment annexe
18-126183,SIRET:21720181300011,92510000,18467,2,1,1,dépoussiérage des fonds anciens et du mobilier de conservation de la médiathèque
18-126744,SIRET:81515871200019,80530000,17162,2,1,1,"conception et animation des formations "" à destination des conseillers assurance"
18-131427,NAME:ch le mans,45000000,17146,2,1,1,travaux de pose de sols minces
18-133591,NAME:arafer,79300000,17918,2,1,1,etude de soutenabilité des redevances d'accès à l'infrastructure sur le marché d
18-68937,NAME:ville de saumur,09323000,16343,2,1,1,chauffage urbain du chemin vert - exploitation primaire p2 p3
18-79684,NAME:ville de saumur,09323000,16565,2,1,1,chauffage urbain du chemin vert - exploitation primaire p1 p2 p3
18-122968,NAME:sec gal pour l adm min interieur ouest,45331000,19991,2,1,1,travaux de remplacement des installations de traitement d air et de froid au sei
18-124035,NAME:vendee,92622000,19995,6,2,1,"création, mise en place et exécution de l'identité visuelle du vendée globe 2020"
18-124129,NAME:communaute de communes de grand lieu,45232410,19996,2,1,1,travaux d'assainissement des eaux usées sur la commune de la chevrolière (extens
18-124380,NAME:gpm de nantes - st nazaire,50532400,19758,3,1,1,modernisation du poste ht quai des frégates
18-124788,NAME:conseil departemental loire-atlantique,,9293,3,2,1,revues de presse électroniques
18-127617,NAME:nantes metropole,,19999,2,1,1,travaux de réalisation du belvédère de l'hermitage à nantes - lot 2 relance
18-130446,NAME:loire ocean developpement,,19825,3,1,1,mission de maîtrise d'oeuvre pur la construction d'une cour artisanale
18-131837,NAME:cour des comptes,45441000,19197,3,1,1,travaux de désamiantage et de réfection de murs rideaux de la chambre régionale 
18-133343,NAME:gpm de nantes - st nazaire,66514150,20009,3,2,1,police française d'assurance maritime
18-124331,NAME:ch le mans,33696500,19874,4,1,1,biol18-003
18-125878,NAME:mairie de saint-gilles-croix-de-vie,90610000,20012,2,1,1,nettoyage des rues et collecte des corbeilles enterrées
18-126971,NAME:conseil regional des pays de la loire,39162100,20013,2,1,1,acquisition d'équipements pédagogiques liés à la restructuration des ateliers de
18-127938,NAME:conseil departemental loire-atlantique,45215210,19928,3,1,1,reconstruction du centre départemental enfance familles (cdef) à saint sebastien
18-128016,SIRET:25720014700029,90500000,20015,3,1,1,"collecte, transfert et transport des déchets menagers"
18-128238,SIRET:13001380800014,15896000,20016,2,1,2,fourniture de produits alimentaires
18-129103,NAME:angers loire metropole,39234000,20017,2,1,1,fournitures de composteurs et de lombricomposteurs
18-129881,NAME:laval agglomeration,48822000,20018,2,1,1,évolution de l'infrastructure du système d'information pour le groupement de com
18-131090,SIRET:22850001300658,42123400,20019,2,1,1,fourniture et livraison de matériels roulants
18-131411,NAME:conseil departemental loire-atlantique,77314000,20020,2,1,1,prestations agricoles sur les espaces naturels sensibles
18-132336,SIRET:42869200800157,45000000,20021,2,1,1,97/2018
18-133688,NAME:ecole centrale de nantes,31120000,20022,2,1,1,"fourniture, installation et mise en service d'un générateur de courant pulsé à l"
18-133966,SIRET:22850001300658,45221000,20023,3,1,1,création de l'échangeur bernard palissy à la roche sur yon
18-134774,SIRET:23440003400026,71335000,20024,2,1,1,assistance de la région pour la définition et la faisabilité d'un projet innovan
18-135495,SIRET:26720051700089,39831200,20025,2,1,1,"articles et produits d'entretien, d'hygiène et lessiviels de la date de notifica"
18-121765,NAME:commune de pornic,60172000,18644,2,1,1,transports collectifs scolaires et hors scolaires (pornic)
18-122633,NAME:alter public,71000000,17143,2,1,1,"accord-cadre de maîtrise d'oeuvre urbaine, infrastructures et paysages pour la r"
18-123540,NAME:conseil regional des pays de la loire,39713100,10420,175,53,130,a completer
18-122866,NAME:universite de nantes,72224000,17969,2,1,1,accompagnement pour le montage de projets du programme investissements d'avenir 
18-126137,NAME:conseil departemental loire-atlantique,34300000,17450,2,1,1,pièces détachées premières montes ou équipementiers pour véhicules légers et uti
18-127253,NAME:conseil departemental loire-atlantique,45220000,17414,2,1,1,aménagement en première phase de l'échangeur de viais - construction du passage 
18-127369,NAME:cnam,79710000,19291,2,1,1,gardiennage incendie et sécurité pour le site de l'esgt (le mans)
18-130201,NAME:cte de cnes du pays d ancenis,60140000,18061,2,1,1,transport de personnes participant à une activité dont le transport est organisé
18-131457,NAME:ch le mans,45000000,18039,2,1,1,extension de la production d'eau glacée - bâtiment aliénor
18-131441,NAME:ch le mans,45000000,17397,4,1,1,travaux entretien couverture nettoyages et ramonages
18-131679,NAME:communaute de communes de sable,34928480,18870,2,1,1,maintenance du parc de bacs roulants
18-131785,NAME:conseil regional des pays de la loire,79952100,18249,2,1,1,coordination et organisation des manifestations accueillies à l'hôtel de région 
18-132882,NAME:ville de saumur,50721000,18736,2,1,1,"exploitation des installations de chauffage, climatisation et ventilation - p2 p"
18-123299,NAME:cte de cnes du pays d ancenis,,20028,2,1,0,elaboration d'un ' schéma de secteur ' pour le pôle central du pays d'ancenis
18-127934,NAME:universite de nantes,,19386,3,1,0,achat de débitmètres/régulateurs de débit massique et de compteurs d'eau nécessa
18-125897,NAME:ville d auvers le hamon,,17701,2,1,0,réhabilitation du prieuré en un espace 'vie associative' et locaux dédiés aux pr
18-122670,NAME:ville de carquefou,,20034,2,1,0,acquisition de matériels motorisés et attelés
18-122920,NAME:commune de saint nazaire,72600000,20036,2,1,1,18s0079_prestation de migration bo xi vers bi 4.2 et maintenance pour la ville d
18-124238,NAME:communaute de communes de grand lieu,71240000,20039,2,1,1,marché public de maîtrise d'oeuvre pour la construction d'une nouvelle station d
18-124340,NAME:ville de vertou,44211100,19760,2,1,1,fourniture et installation d'un bâtiment modulaire au groupe scolaires des reign
18-129736,NAME:gpm de nantes - st nazaire,44531510,20049,2,2,1,fourniture de visserie et boulonnerie
18-131549,NAME:commune de nantes,,20051,2,1,1,quartier centre ville - 13 rue de briord - travaux de rénovation du bâtiment bri
18-131942,NAME:commune de saint nazaire,45113000,20052,2,1,1,18s0086-groupe scolaire michelet travaux de renovation
18-133140,NAME:le mans metropole - communaute urbaine,45220000,20056,2,1,1,construction du bassin tampon des etangs
18-135714,NAME:ugecam bretagne - pays de la loire,45000000,19633,2,1,1,travaux de construction et restructuration du centre la thébaudais à rennes (352
18-135787,NAME:cc loir luce berce,45200000,19774,2,1,1,"construction d'un centre de loisirs sans hébergement, d'un ram et d'un local jeu"
18-127972,NAME:universite d angers,,20062,2,1,0,achats de matériels pour le suaps
