buyer_key,n_templated_notices
NAME:mairie argentre du plessis,2
NAME:maine-et-loire habitat,2
SIRET:51532951400035,2
SIRET:44216571800028,2
SIRET:41780679100048,2
NAME:greta loire atlantique,2
SIRET:20008339200130,2
SIRET:20007326000016,2
SIRET:20010261400019,2
NAME:agrocampus ouest,2
SIRET:97787458500010,2
NAME:amenagement d aires de jeux de plein air,1
SIRET:80385661600013,1
SIRET:83520829900015,1
SIRET:84965054400034,1
SIRET:86380037100123,1
NAME:hopital intercommunal sevre et loire,1
NAME:hopital local loire et sillon,1
NAME:hopital saint nicolas,1
NAME:ifce 170 avenue du cadre noir 49400 saumur,1
NAME:institut 4 10,1
SIRET:77561399500015,1
SIRET:77566487304212,1
SIRET:79270011400012,1
SIRET:79754898900038,1
NAME:lycee general et technologique livet,1
NAME:lycee duplessis mornay,1
NAME:loire-atlantique numerique,1
NAME:mairie de saint colomban,1
NAME:mairie de saint calais,1
NAME:mairie de ponts de ce,1
NAME:mairie de derval,1
NAME:mairie de cordemais,1
NAME:mairie de brem-sur-mer,1
NAME:mairie d aytre,1
SIRET:53217613800024,1
SIRET:52167615500018,1
SIRET:51756376300021,1
SIRET:47786555400091,1
SIRET:44430648400023,1
SIRET:44356638500011,1
SIRET:20006001000010,1
SIRET:20005947500018,1
SIRET:20005667900018,1
SIRET:20007226200013,1
SIRET:20007190000308,1
SIRET:20007190000019,1
SIRET:20006456600017,1
NAME:commune de chateau gontier sur mayenne,1
SIRET:21440041800098,1
SIRET:21350093700015,1
NAME:communaute de communes haute sarthe alpes mancelles,1
NAME:communaute de communes du val de sarthe,1
NAME:communaute de communes du perche emeraude,1
NAME:communaute de communes sud sarthe,1
NAME:communaute de communes ocean marais de monts 85,1
SIRET:20008490300018,1
NAME:commune de chauray,1
NAME:commune de chateau thebaud,1
SIRET:19851390500028,1
SIRET:19850027400016,1
SIRET:20005615800013,1
SIRET:20005521800016,1
SIRET:20004047500010,1
NAME:communaute de communes de la champagne conlinoise et du pays de sille 4cps,1
NAME:communaute d agglomeration de la region nazairienne et de l estuaire,1
SIRET:21440126700015,1
SIRET:21440122600011,1
SIRET:21440110100016,1
NAME:commune de briollay,1
NAME:commune de brette les pins,1
NAME:commune de bouin,1
NAME:commune de bouchemaine,1
SIRET:13001539900012,1
SIRET:19610790800010,1
SIRET:19442312500013,1
SIRET:18007003902264,1
SIRET:17450111400097,1
SIRET:17450005800022,1
SIRET:21440189500013,1
SIRET:21440182000011,1
SIRET:21440158000011,1
SIRET:21440151500017,1
SIRET:21440150700063,1
NAME:communaute de communes de nozay,1
NAME:commune de l ile d yeu,1
NAME:commune de l huisserie,1
NAME:commune de fosse,1
NAME:commune de couffe,1
SIRET:13000610900057,1
SIRET:13000511900032,1
SIRET:13000460900017,1
SIRET:12006401900074,1
NAME:ville de tregueux,1
SIRET:21530077300011,1
SIRET:21490215700012,1
SIRET:21490125800019,1
SIRET:21490035900013,1
SIRET:21440223200018,1
SIRET:21440217400012,1
NAME:commune de le pallet,1
NAME:commune de la fleche,1
SIRET:17350120600010,1
SIRET:13002523200013,1
SIRET:13002456800018,1
SIRET:21720058300011,1
SIRET:21720051800017,1
SIRET:21560053700017,1
NAME:ville de sainte-soulle,1
NAME:ville de saint gilles croix de vie 85,1
NAME:ville de precigne,1
NAME:commune de precigne,1
NAME:commune de pouzauges,1
NAME:cnfpt delegation des pays de la loire,1
NAME:cias vendee sevre autise,1
NAME:cias pays saint gilles croix de vie,1
NAME:cias la roche-sur-yon agglomeration,1
NAME:cias de sable sur sarthe,1
SIRET:21530097100011,1
SIRET:21530096300018,1
SIRET:21530084900019,1
NAME:ville de la baule-escoublac,1
NAME:ville de l aigle,1
NAME:ville de doue la fontaine,1
NAME:commune de saint-jean-de-monts,1
NAME:commune de parce-sur-sarthe,1
NAME:commune de pannece,1
NAME:commune de oree anjou,1
NAME:commune de notre dame des landes,1
NAME:commune de nort-sur-erdre,1
NAME:ville de nantes et nantes metropole,1
NAME:ville de murs erigne 49,1
NAME:ville de montaigu-vendee,1
NAME:ville de mayenne,1
SIRET:21720247200015,1
SIRET:21720244900013,1
SIRET:21720090600014,1
SIRET:21850018900012,1
SIRET:21850004900018,1
NAME:commune de saint philbert de bouaine 85,1
NAME:commune de saint mars du desert,1
NAME:ville de beauvoir sur mer,1
NAME:ville de basse-goulaine,1
NAME:commune lys-haut-layon,1
NAME:chu angers,1
NAME:chateau d olonne,1
NAME:centre hospitalier sainte-anne,1
NAME:centre hospitalier paul chapron,1
SIRET:21790202200011,1
SIRET:21790162800016,1
SIRET:21720364500015,1
NAME:ville de la roche-sur-yon 85,1
NAME:ville de la fleche,1
SIRET:21850155900015,1
NAME:travaux de renovation du grand auditorium de la grande halle et de la galerie de liaison a la cite des congres de nantes,1
NAME:commune de vair sur loire,1
NAME:commune de sevremoine,1
NAME:commune de segre en anjou bleu,1
NAME:ugecam bretagne pays de la loire,1
NAME:conseil general de la sarthe,1
NAME:concarneau cornouaille agglomeration,1
NAME:commune saint philbert de grand lieu,1
NAME:cte de cnes du castelbriantais,1
SIRET:21850128600015,1
SIRET:21850114600011,1
SIRET:21850083300015,1
SIRET:21850070000016,1
SIRET:21850062700011,1
SIRET:21850031200010,1
SIRET:24440043800051,1
SIRET:24350074100232,1
NAME:centre hospitalier du mans etablissement support du ght 72,1
NAME:syndicat mixte orchestre national pays de la loire,1
NAME:syndicat mixte e-collectivites,1
NAME:syndicat mixte de gestion du conservatoire a rayonnement departemental olivier messiaen,1
NAME:centre hospitalier de saumur,1
NAME:centre hospitalier de chateau du loir,1
NAME:centre hospitalier,1
NAME:centre de gestion de la fonction publique territoriale de la sarthe,1
NAME:centre de gestion de la fonction publi,1
SIRET:21850295300019,1
SIRET:21850277100015,1
SIRET:21850222700018,1
SIRET:21850221900015,1
SIRET:21850160900018,1
NAME:departement du maine et loire,1
NAME:sidaep des mauges et de la gatine,1
NAME:siaep de la region de bouloire,1
NAME:cte reg peches maritimes elevages mari,1
NAME:cte de communes du pays de redon,1
NAME:cte de cnes moutierrois talmondais,1
NAME:sydnicat loire aval,1
NAME:sydev de la vendee,1
NAME:syctom du loire beconnais,1
NAME:spl eau du bassin rennais,1
NAME:e p i s m arc-en-ciel du perche saosnois,1
NAME:ccas tuffe val de la cheronne,1
NAME:ccas la ferte bernard,1
SIRET:24440053700035,1
SIRET:24440050300201,1
SIRET:24440050300110,1
NAME:ehpad residence marin bouille,1
NAME:ehpad les frenes-les chataigniers,1
NAME:ehpad le vollier,1
NAME:ehpad le prieure,1
NAME:ehpad la varenne,1
NAME:ehpad l arc en ciel de montmirail 72320,1
NAME:ehpad albert trotte,1
NAME:siaep de courcelles-la-foret,1
SIRET:24720041300018,1
SIRET:24490080900116,1
SIRET:24490001500045,1
SIRET:24440069300010,1
NAME:cegvs,1
NAME:cdc sud est du pays manceau,1
NAME:dirisi,1
NAME:dir reg concurrence consommation trav,1
NAME:ensam,1
NAME:sgcd loire-atlantique,1
NAME:services techniques,1
NAME:service marches publics,1
NAME:service marche publics,1
NAME:service commande publique,1
NAME:sem sonadev,1
NAME:securite maritime,1
NAME:scom est vendeen,1
SIRET:25490044200024,1
SIRET:24850072000045,1
SIRET:24850062100011,1
SIRET:24850046400198,1
SIRET:24850025800046,1
SIRET:24850019100023,1
SIRET:24720046200031,1
NAME:nantes metropole habitat,1
NAME:gie sonadev,1
NAME:sapl angers loire restauration,1
NAME:s y m b o l i,1
NAME:rives de l yon,1
NAME:residence val d emilie ehpad,1
NAME:residence andree rochefort,1
NAME:region des pays de la loire,1
SIRET:26440006000036,1
SIRET:25850165900027,1
SIRET:25850065100041,1
SIRET:25490250500018,1
NAME:eptb de la sevre nantaise,1
NAME:eplefpa la germiniere,1
NAME:epl cholet sports loisirs,1
NAME:epcc chemins du patrimoine,1
NAME:gie des epl de vendee,1
NAME:gendarmerie nationale,1
NAME:france velo tourisme,1
NAME:essarts en bocage,1
NAME:espacil habitat,1
NAME:ministeres economiques et financiers,1
SIRET:26490499600016,1
NAME:ccas de sevremoine,1
NAME:ccas de la roche-sur-yon 85,1
NAME:ccas de la bruffiere,1
NAME:ccas de bouchemaine,1
NAME:cc pays de loue vegre champagne,1
NAME:port nantes saint-nazaire,1
NAME:pays de la loire mobilites - exploitation,1
NAME:oti pays de saint gilles croix de vie,1
NAME:organismes de securite sociale,1
SIRET:38012986646850,1
SIRET:32021714401229,1
NAME:mecs felix guilloux,1
NAME:mash,1
NAME:mairie neuille-pont-pierre,1
NAME:mairie les portes du coglais,1
NAME:mairie de vaiges,1
NAME:mairie de st lyphard,1
NAME:groupement transamo - cenovia,1
NAME:cc estuaire et sillon,1
NAME:cc de la champagne conlinoise,1
NAME:carsat pays de loire,1
NAME:cantine ctre des fin publiques cholet,1
SIRET:26850242400016,1
SIRET:26850236600035,1
SIRET:26720023600011,1
SIRET:44295440000028,1
SIRET:38539255000047,1
NAME:campus sport bretagne,1
NAME:grand port maritime nantes st-nazaire service achats,1
NAME:grand port maritime nantes saint-nazaire,1
NAME:grand port maritime de nantes saint-nazaire gpmnsn,1
NAME:grand port maritime de nantes saint nazaire 18 quai ernest renaud nantes 44186,1
NAME:gip restauration ih blavet scorff,1
NAME:gip blanchisserie interhospitaliere,1
NAME:mairie de savenay,1
NAME:mairie de sainte-helene,1
NAME:mairie de saint-andre des eaux,1
NAME:mairie de saint saturnin,1
NAME:mairie de saint herblain,1
NAME:caisse primaire d assurance maladie,1
NAME:caisse primaire assur maladie maine lo,1
NAME:amenagement de l avenue peccot des rues de solay et bastie en accompagnement du projet immobilier ilot neo,1
SIRET:96450646300063,1
NAME:amenagement d aires de jeux de plein air - groupement de commandes villes de nantes nantes metropole nantes metropole habitat,1
NAME:abbaye de fontevraud,1
SIRET:91740808000013,1
NAME:autorite regulation activites ferrovia,1
NAME:association de gestion de la cantine et des loisirs du parc departemental,1
NAME:ass usagers restaurant cfp chateau olo,1
NAME:ass restaurant adm hotel des impots,1
NAME:apij - agence immobiliere pour l immobilier de la justice,1
SIRET:75375957000017,1
SIRET:72206048000042,1
SIRET:53417248100010,1
NAME:maine loire habitat office pub habitat,1
NAME:lycee livet,1
NAME:lycee grandmont,1
SIRET:20008469700016,1
SIRET:20008339200056,1
SIRET:20008339200049,1
SIRET:20008247700015,1
SIRET:20007740200036,1
SIRET:20007392200011,1
NAME:communaute de communes du pays du gois,1
NAME:communaute de communes du pays des achards 85,1
NAME:communaute de communes des olonnes,1
SIRET:21350059800015,1
SIRET:21350051500049,1
SIRET:21220016600016,1
SIRET:21010004600015,1
SIRET:20008976100015,1
SIRET:20008776100015,1
SIRET:20008754200011,1
