notice_family_id,notice_id,publication_date,lifecycle_role,schema_family,first_call_date,delay_days
NF020118,19-35553,2019-03-08,CORRECTION,LEGACY,2019-02-14,22
NF020346,19-49563,2019-03-30,CORRECTION,LEGACY,2019-03-02,28
NF020074,19-33491,2019-03-01,CANCELLATION,LEGACY,2019-02-22,7
NF020338,19-36532,2019-03-07,CORRECTION,LEGACY,2019-02-18,17
NF019994,19-42073,2019-03-18,CORRECTION,LEGACY,2019-02-08,38
NF020022,19-34095,2019-03-06,CORRECTION,LEGACY,2019-02-02,32
NF020247,19-36798,2019-03-10,CORRECTION,LEGACY,2019-02-22,16
NF020903,19-36834,2019-03-10,CORRECTION,LEGACY,2019-03-03,7
NF020090,19-39757,2019-03-16,CORRECTION,LEGACY,2019-02-13,31
NF020623,19-42931,2019-03-21,CORRECTION,LEGACY,2019-03-15,6
NF020760,19-43665,2019-03-22,CORRECTION,LEGACY,2019-03-10,12
NF020628,19-48642,2019-03-29,CORRECTION,LEGACY,2019-03-20,9
NF020362,19-49211,2019-03-30,CORRECTION,LEGACY,2019-03-21,9
NF020347,19-49531,2019-03-30,CORRECTION,LEGACY,2019-03-02,28
NF020082,19-30999,2019-03-02,CORRECTION,LEGACY,2019-02-02,28
NF020085,19-34985,2019-03-07,CORRECTION,LEGACY,2019-02-06,29
NF020038,19-45263,2019-03-24,CORRECTION,LEGACY,2019-02-23,29
NF020760,19-51287,2019-03-31,CORRECTION,LEGACY,2019-03-10,21
NF019983,19-43724,2019-03-20,CORRECTION,LEGACY,2019-02-18,30
NF020080,19-35878,2019-03-06,CORRECTION,LEGACY,2019-02-21,13
NF020928,19-39703,2019-03-14,CORRECTION,LEGACY,2019-03-13,1
NF020671,19-36755,2019-03-08,CORRECTION,LEGACY,2019-03-07,1
NF020790,19-34152,2019-03-06,CORRECTION,LEGACY,2019-03-01,5
NF020038,19-43179,2019-03-22,CORRECTION,LEGACY,2019-02-23,27
NF019884,19-32968,2019-03-03,CORRECTION,LEGACY,2019-02-14,17
NF020117,19-35800,2019-03-08,CORRECTION,LEGACY,2019-02-14,22
NF019884,19-38259,2019-03-14,CORRECTION,LEGACY,2019-02-14,28
NF020765,19-42394,2019-03-21,CORRECTION,LEGACY,2019-03-16,5
NF020022,19-42737,2019-03-21,CORRECTION,LEGACY,2019-02-02,47
NF020494,19-37578,2019-03-11,CORRECTION,LEGACY,2019-03-08,3
NF019914,19-37662,2019-03-11,CORRECTION,LEGACY,2019-02-07,32
NF020884,19-45927,2019-03-25,CORRECTION,LEGACY,2019-03-22,3
NF020085,19-40260,2019-03-16,CORRECTION,LEGACY,2019-02-06,38
NF020619,19-51334,2019-03-31,CORRECTION,LEGACY,2019-03-09,22
NF020540,19-53469,2019-04-05,CORRECTION,LEGACY,2019-03-31,5
NF020424,19-55805,2019-04-10,CORRECTION,LEGACY,2019-03-10,31
NF021267,19-61573,2019-04-18,CORRECTION,LEGACY,2019-04-10,8
NF020767,19-64401,2019-04-25,CORRECTION,LEGACY,2019-03-17,39
NF020474,19-68247,2019-04-29,CORRECTION,LEGACY,2019-03-12,48
NF020728,19-52591,2019-04-01,CORRECTION,LEGACY,2019-03-14,18
NF020590,19-55276,2019-04-05,CORRECTION,LEGACY,2019-03-28,8
NF020661,19-57884,2019-04-11,CORRECTION,LEGACY,2019-03-01,41
NF014754,19-62741,2019-04-20,MODIFICATION,LEGACY,2017-09-03,594
NF021241,19-56594,2019-04-11,CORRECTION,LEGACY,2019-04-07,4
NF021088,19-65716,2019-04-27,CORRECTION,LEGACY,2019-04-07,20
NF021351,19-65853,2019-04-27,CORRECTION,LEGACY,2019-04-04,23
NF021171,19-66273,2019-04-27,CORRECTION,LEGACY,2019-04-01,26
NF021306,19-68533,2019-04-30,CORRECTION,LEGACY,2019-04-26,4
NF020679,19-53773,2019-04-03,CORRECTION,LEGACY,2019-03-14,20
NF020604,19-50948,2019-04-01,CORRECTION,LEGACY,2019-03-18,14
NF021210,19-60353,2019-04-15,CORRECTION,LEGACY,2019-04-12,3
NF020493,19-61174,2019-04-16,CORRECTION,LEGACY,2019-03-08,39
NF020837,19-62281,2019-04-18,CORRECTION,LEGACY,2019-03-21,28
NF020392,19-64478,2019-04-23,CORRECTION,LEGACY,2019-03-26,28
NF020844,19-65256,2019-04-24,CORRECTION,LEGACY,2019-03-29,26
NF021227,19-68253,2019-04-29,CORRECTION,LEGACY,2019-04-18,11
NF020612,19-53840,2019-04-05,CORRECTION,LEGACY,2019-03-03,33
NF020346,19-54212,2019-04-06,CORRECTION,LEGACY,2019-03-02,35
NF020523,19-55061,2019-04-07,CORRECTION,LEGACY,2019-03-15,23
NF020356,19-55190,2019-04-07,CORRECTION,LEGACY,2019-03-09,29
NF021156,19-56535,2019-04-11,CORRECTION,LEGACY,2019-04-07,4
NF016410,19-64753,2019-04-25,CORRECTION,LEGACY,2018-05-31,329
NF020479,19-55943,2019-04-08,CORRECTION,LEGACY,2019-03-22,17
NF020856,19-65083,2019-04-24,CORRECTION,LEGACY,2019-03-26,29
NF020384,19-52883,2019-04-02,CORRECTION,LEGACY,2019-03-18,15
NF020676,19-54411,2019-04-04,CORRECTION,LEGACY,2019-03-13,22
NF020823,19-55313,2019-04-05,CORRECTION,LEGACY,2019-03-07,29
NF021064,19-61508,2019-04-17,CORRECTION,LEGACY,2019-04-08,9
NF020527,19-66175,2019-04-27,CORRECTION,LEGACY,2019-03-20,38
NF021266,19-56465,2019-04-11,CORRECTION,LEGACY,2019-04-07,4
NF020891,19-56926,2019-04-09,CORRECTION,LEGACY,2019-03-27,13
NF020575,19-57053,2019-04-11,CORRECTION,LEGACY,2019-03-14,28
NF021286,19-64626,2019-04-23,CORRECTION,LEGACY,2019-04-10,13
NF020877,19-54570,2019-04-04,CORRECTION,LEGACY,2019-03-14,21
NF021115,19-57323,2019-04-12,CORRECTION,LEGACY,2019-04-01,11
NF020697,19-64323,2019-04-23,CORRECTION,LEGACY,2019-03-29,25
NF020837,19-66054,2019-04-25,CORRECTION,LEGACY,2019-03-21,35
NF020407,19-52241,2019-04-03,CORRECTION,LEGACY,2019-03-29,5
NF020196,19-65894,2019-04-27,CORRECTION,LEGACY,2019-02-14,72
NF020980,19-66595,2019-04-26,CORRECTION,LEGACY,2019-04-23,3
NF020531,19-59375,2019-04-14,CORRECTION,LEGACY,2019-03-27,18
NF020920,19-65067,2019-04-26,CORRECTION,LEGACY,2018-09-28,210
NF020399,19-62422,2019-04-18,CORRECTION,LEGACY,2019-03-29,20
NF020700,19-65506,2019-04-24,CORRECTION,LEGACY,2019-03-30,25
NF020927,19-52368,2019-04-01,CORRECTION,LEGACY,2019-03-13,19
NF014754,19-62818,2019-04-20,MODIFICATION,LEGACY,2017-09-03,594
NF020347,19-58695,2019-04-14,CORRECTION,LEGACY,2019-03-02,43
NF020529,19-63600,2019-04-21,CORRECTION,LEGACY,2019-03-20,32
NF020361,19-58595,2019-04-26,CORRECTION,LEGACY,2019-03-20,37
NF020948,19-58921,2019-04-12,CORRECTION,LEGACY,2019-03-29,14
NF020602,19-66634,2019-04-26,CORRECTION,LEGACY,2019-03-15,42
NF021455,19-82480,2019-05-29,CORRECTION,LEGACY,2019-05-24,5
NF021742,19-83431,2019-05-28,CORRECTION,LEGACY,2019-05-27,1
NF021429,19-77064,2019-05-16,CANCELLATION,LEGACY,2019-05-15,1
NF021694,19-81702,2019-05-24,CORRECTION,LEGACY,2019-05-16,8
NF021007,19-70969,2019-05-08,CORRECTION,LEGACY,2019-04-11,27
NF020958,19-73638,2019-05-12,CORRECTION,LEGACY,2019-04-10,32
NF020896,19-69471,2019-05-02,CORRECTION,LEGACY,2019-03-30,33
NF020999,19-77376,2019-05-17,CORRECTION,LEGACY,2019-04-26,21
NF021811,19-78875,2019-05-20,CORRECTION,LEGACY,2019-05-07,13
NF021433,19-79118,2019-05-21,CORRECTION,LEGACY,2019-05-20,1
NF021766,19-73561,2019-05-10,CORRECTION,LEGACY,2019-01-10,120
NF021832,19-82802,2019-05-27,CANCELLATION,LEGACY,2019-05-24,3
NF021004,19-76122,2019-05-17,CORRECTION,LEGACY,2019-04-05,42
NF021640,19-73845,2019-05-10,CORRECTION,LEGACY,2019-05-06,4
NF021115,19-74666,2019-05-14,CORRECTION,LEGACY,2019-04-01,43
NF021463,19-80789,2019-05-23,CORRECTION,LEGACY,2019-05-07,16
NF021806,19-81227,2019-05-23,CORRECTION,LEGACY,2019-04-30,23
NF021007,19-70635,2019-05-08,CORRECTION,LEGACY,2019-04-11,27
NF020697,19-69541,2019-05-02,CORRECTION,LEGACY,2019-03-29,34
NF020441,19-73648,2019-05-13,CORRECTION,LEGACY,2019-03-07,67
NF021522,19-81580,2019-05-24,CORRECTION,LEGACY,2019-05-22,2
NF021298,19-72454,2019-05-07,CORRECTION,LEGACY,2019-04-18,19
NF021232,19-75664,2019-05-14,CORRECTION,LEGACY,2019-04-25,19
NF021514,19-82611,2019-05-27,CORRECTION,LEGACY,2019-05-14,13
NF021016,19-70136,2019-05-05,CORRECTION,LEGACY,2019-04-26,9
NF020953,19-82041,2019-05-26,CORRECTION,LEGACY,2019-04-05,51
NF020655,19-70143,2019-05-05,CORRECTION,LEGACY,2019-03-31,35
NF021719,19-78790,2019-05-22,CORRECTION,LEGACY,2019-05-16,6
NF021468,19-82605,2019-05-27,CORRECTION,LEGACY,2019-05-14,13
NF021287,19-70183,2019-05-03,CORRECTION,LEGACY,2019-04-11,22
NF021806,19-71000,2019-05-06,CORRECTION,LEGACY,2019-04-30,6
NF019525,19-81433,2019-05-24,CORRECTION,LEGACY,2019-01-14,130
NF021383,19-75319,2019-05-16,CORRECTION,LEGACY,2019-05-12,4
NF021168,19-78051,2019-05-19,CORRECTION,LEGACY,2019-04-28,21
NF021462,19-85369,2019-06-05,CORRECTION,LEGACY,2019-05-07,29
NF021381,19-86891,2019-06-07,CORRECTION,LEGACY,2019-05-11,27
NF021829,19-86772,2019-06-05,CORRECTION,LEGACY,2019-05-21,15
NF022215,19-91314,2019-06-15,CORRECTION,LEGACY,2019-06-09,6
NF022224,19-97510,2019-06-29,CORRECTION,LEGACY,2019-06-05,24
NF022009,19-88265,2019-06-07,CORRECTION,LEGACY,2019-06-05,2
NF021921,19-89652,2019-06-11,CORRECTION,LEGACY,2019-06-04,7
NF021968,19-91399,2019-06-14,CORRECTION,LEGACY,2019-06-07,7
NF022256,19-95098,2019-06-20,CORRECTION,LEGACY,2019-06-13,7
NF022163,19-97862,2019-06-26,CORRECTION,LEGACY,2019-06-24,2
NF022051,19-99108,2019-06-27,CORRECTION,LEGACY,2019-06-06,21
NF022009,19-100119,2019-06-30,CORRECTION,LEGACY,2019-06-05,25
NF022296,19-98269,2019-06-26,CORRECTION,LEGACY,2019-06-14,12
NF021703,19-99330,2019-06-27,CORRECTION,LEGACY,2019-05-29,29
NF021806,19-86671,2019-06-04,CORRECTION,LEGACY,2019-04-30,35
NF021525,19-91852,2019-06-14,CORRECTION,LEGACY,2019-03-26,80
NF021554,19-96154,2019-06-23,CORRECTION,LEGACY,2019-05-30,24
NF022199,19-99472,2019-06-30,CORRECTION,LEGACY,2019-06-21,9
NF021744,19-85215,2019-06-04,CORRECTION,LEGACY,2019-05-01,34
NF022325,19-98794,2019-06-27,CORRECTION,LEGACY,2019-05-27,31
NF021659,19-93104,2019-06-18,CORRECTION,LEGACY,2019-05-24,25
NF022292,19-99346,2019-06-27,CORRECTION,LEGACY,2019-06-12,15
NF021399,19-86797,2019-06-05,CORRECTION,LEGACY,2019-05-16,20
NF020963,19-94195,2019-06-21,CORRECTION,LEGACY,2019-04-17,65
NF021890,19-91385,2019-06-16,CORRECTION,LEGACY,2019-06-09,7
NF021922,19-96688,2019-06-24,CORRECTION,LEGACY,2019-06-05,19
NF022287,19-97576,2019-06-25,CORRECTION,LEGACY,2019-06-04,21
NF021040,19-86400,2019-06-04,CORRECTION,LEGACY,2019-04-11,54
NF022305,19-97081,2019-06-28,CORRECTION,LEGACY,2019-06-23,5
NF021552,19-84993,2019-06-02,CORRECTION,LEGACY,2019-05-29,4
NF022221,19-85196,2019-06-04,CORRECTION,LEGACY,2019-06-02,2
NF021868,19-90334,2019-06-14,CORRECTION,LEGACY,2019-05-30,15
NF021529,19-96466,2019-06-24,CORRECTION,LEGACY,2019-05-28,27
NF021939,19-99919,2019-06-30,CORRECTION,LEGACY,2019-06-26,4
NF021868,19-95031,2019-06-22,CORRECTION,LEGACY,2019-05-30,23
NF021393,19-99580,2019-06-30,CORRECTION,LEGACY,2019-05-31,30
NF021397,19-87985,2019-06-06,CORRECTION,LEGACY,2019-05-13,24
NF022401,19-110678,2019-07-18,CORRECTION,LEGACY,2019-07-03,15
NF022742,19-112620,2019-07-21,CORRECTION,LEGACY,2019-07-06,15
NF022683,19-112641,2019-07-21,CORRECTION,LEGACY,2019-07-07,14
NF022477,19-113765,2019-07-22,CORRECTION,LEGACY,2019-07-18,4
NF022004,19-114711,2019-07-23,CORRECTION,LEGACY,2019-06-30,23
NF022256,19-104500,2019-07-05,CORRECTION,LEGACY,2019-06-13,22
NF022721,19-111430,2019-07-17,CORRECTION,LEGACY,2019-07-04,13
NF022330,19-110681,2019-07-16,CORRECTION,LEGACY,2019-06-20,26
NF022645,19-118886,2019-07-30,CANCELLATION,LEGACY,2019-07-18,12
NF022433,19-114852,2019-07-23,CORRECTION,LEGACY,2019-07-09,14
NF022435,19-114868,2019-07-23,CORRECTION,LEGACY,2019-07-09,14
NF011063,19-112358,2019-07-25,MODIFICATION,LEGACY,2017-04-21,825
NF011063,19-112470,2019-07-25,MODIFICATION,LEGACY,2017-04-21,825
NF022742,19-112420,2019-07-20,CORRECTION,LEGACY,2019-07-06,14
NF021917,19-116155,2019-07-27,CORRECTION,LEGACY,2019-06-28,29
NF022252,19-102719,2019-07-03,CORRECTION,LEGACY,2019-06-07,26
NF022706,19-117328,2019-07-26,CORRECTION,LEGACY,2019-07-12,14
NF022561,19-119499,2019-07-31,CORRECTION,LEGACY,2019-07-11,20
NF022237,19-100888,2019-07-03,CORRECTION,LEGACY,2019-06-20,13
NF021919,19-104013,2019-07-07,CORRECTION,LEGACY,2019-06-30,7
NF022353,19-106601,2019-07-12,CORRECTION,LEGACY,2019-07-07,5
NF021959,19-110721,2019-07-18,CORRECTION,LEGACY,2019-06-26,22
NF022499,19-115335,2019-07-26,CORRECTION,LEGACY,2019-07-12,14
NF022382,19-105305,2019-07-08,CORRECTION,LEGACY,2019-07-05,3
NF022293,19-106293,2019-07-09,CORRECTION,LEGACY,2019-06-12,27
NF022192,19-102370,2019-07-03,CORRECTION,LEGACY,2019-06-18,15
NF022236,19-103399,2019-07-04,CANCELLATION,LEGACY,2019-06-27,7
NF022287,19-103760,2019-07-05,CORRECTION,LEGACY,2019-06-04,31
NF021995,19-106568,2019-07-10,CORRECTION,LEGACY,2019-06-21,19
NF021993,19-109628,2019-07-15,CORRECTION,LEGACY,2019-06-21,24
NF022648,19-112418,2019-07-18,CORRECTION,LEGACY,2019-07-01,17
NF022662,19-117057,2019-07-26,CORRECTION,LEGACY,2019-07-10,16
NF021388,19-102377,2019-07-05,CORRECTION,LEGACY,2019-05-23,43
NF022227,19-104607,2019-07-07,CORRECTION,LEGACY,2019-06-13,24
NF022821,19-117813,2019-07-31,CORRECTION,LEGACY,2019-07-21,10
NF022767,19-109921,2019-07-15,CORRECTION,LEGACY,2019-07-02,13
NF022009,19-112651,2019-07-19,CORRECTION,LEGACY,2019-06-05,44
NF022624,19-114370,2019-07-23,CORRECTION,LEGACY,2019-07-15,8
NF022662,19-116879,2019-07-26,CORRECTION,LEGACY,2019-07-10,16
NF022085,19-100934,2019-07-03,CORRECTION,LEGACY,2019-06-23,10
NF022201,19-101624,2019-07-04,CORRECTION,LEGACY,2019-06-22,12
NF022310,19-101634,2019-07-04,CORRECTION,LEGACY,2019-06-23,11
NF022742,19-114336,2019-07-25,CORRECTION,LEGACY,2019-07-06,19
NF015105,19-108724,2019-07-14,MODIFICATION,LEGACY,2018-02-14,515
NF022462,19-112852,2019-07-19,CORRECTION,LEGACY,2019-07-17,2
NF022297,19-105027,2019-07-08,CORRECTION,LEGACY,2019-06-17,21
NF022424,19-113409,2019-07-19,CORRECTION,LEGACY,2019-07-01,18
NF014754,19-109757,2019-07-25,MODIFICATION,LEGACY,2017-09-03,690
NF022796,19-127287,2019-08-20,CORRECTION,LEGACY,2019-07-12,39
NF022868,19-130822,2019-08-28,CORRECTION,LEGACY,2019-08-23,5
NF022934,19-122187,2019-08-08,CORRECTION,LEGACY,2019-08-03,5
NF022762,19-128887,2019-08-25,CORRECTION,LEGACY,2019-07-27,29
NF021917,19-130935,2019-08-30,CORRECTION,LEGACY,2019-06-28,63
NF022554,19-120392,2019-08-01,CORRECTION,LEGACY,2019-07-30,2
NF022390,19-132252,2019-08-30,CORRECTION,LEGACY,2019-07-18,43
NF022837,19-126185,2019-08-14,CANCELLATION,LEGACY,2019-08-12,2
NF022601,19-127183,2019-08-21,CORRECTION,LEGACY,2019-07-18,34
NF022758,19-122027,2019-08-08,CORRECTION,LEGACY,2019-07-26,13
NF023108,19-131601,2019-08-29,CORRECTION,LEGACY,2019-08-29,0
NF022440,19-120092,2019-08-01,CORRECTION,LEGACY,2019-07-11,21
NF022440,19-128426,2019-08-22,CORRECTION,LEGACY,2019-07-11,42
NF022580,19-122111,2019-08-08,CORRECTION,LEGACY,2019-07-19,20
NF022440,19-120964,2019-08-02,CORRECTION,LEGACY,2019-07-11,22
NF023121,19-130175,2019-08-29,CORRECTION,LEGACY,2019-08-21,8
NF022686,19-123388,2019-08-10,CORRECTION,LEGACY,2019-07-14,27
NF022432,19-136415,2019-09-09,CORRECTION,LEGACY,2019-07-08,63
NF023035,19-142216,2019-09-19,CORRECTION,LEGACY,2019-08-23,27
NF022483,19-146379,2019-09-26,CORRECTION,LEGACY,2019-07-23,65
NF022811,19-134415,2019-09-07,CORRECTION,LEGACY,2019-07-10,59
NF022205,19-137699,2019-09-13,CORRECTION,LEGACY,2019-06-28,77
NF023173,19-147122,2019-09-29,CORRECTION,LEGACY,2019-09-14,15
NF023534,19-144341,2019-09-25,CORRECTION,LEGACY,2019-07-20,67
NF022841,19-145584,2019-09-27,CORRECTION,LEGACY,2019-08-03,55
NF022824,19-147079,2019-09-29,CORRECTION,LEGACY,2019-07-25,66
NF023280,19-140117,2019-09-16,CORRECTION,LEGACY,2019-09-04,12
NF023164,19-147677,2019-09-30,CORRECTION,LEGACY,2019-09-25,5
NF023027,19-136779,2019-09-09,CORRECTION,LEGACY,2019-08-09,31
NF023516,19-141483,2019-09-17,CORRECTION,LEGACY,2019-09-12,5
NF023026,19-138231,2019-09-11,CORRECTION,LEGACY,2019-08-08,34
NF022958,19-138699,2019-09-12,CORRECTION,LEGACY,2019-08-14,29
NF022895,19-145033,2019-09-24,CORRECTION,LEGACY,2019-08-14,41
NF023156,19-145253,2019-09-25,CANCELLATION,LEGACY,2019-09-24,1
NF022484,19-133897,2019-09-04,CORRECTION,LEGACY,2019-07-25,41
NF022693,19-136643,2019-09-11,CORRECTION,LEGACY,2019-07-19,54
NF022790,19-138899,2019-09-12,CORRECTION,LEGACY,2019-07-10,64
NF022293,19-139493,2019-09-13,CORRECTION,LEGACY,2019-06-12,93
NF022775,19-136196,2019-09-09,CORRECTION,LEGACY,2019-07-23,48
NF023199,19-143884,2019-09-25,CORRECTION,LEGACY,2020-02-12,-140
NF021917,19-136532,2019-09-11,CORRECTION,LEGACY,2019-06-28,75
NF023376,19-137280,2019-09-10,CORRECTION,LEGACY,2019-09-09,1
NF023241,19-143859,2019-09-23,CORRECTION,LEGACY,2019-09-20,3
NF022202,19-141795,2019-09-20,CORRECTION,LEGACY,2019-06-26,86
NF022997,19-145715,2019-09-27,CORRECTION,LEGACY,2019-08-29,29
NF022791,19-134096,2019-09-04,CORRECTION,LEGACY,2019-07-10,56
NF022293,19-144031,2019-09-23,CORRECTION,LEGACY,2019-06-12,103
NF022956,19-133230,2019-09-03,CORRECTION,LEGACY,2019-08-30,4
NF022737,19-138662,2019-09-12,CORRECTION,LEGACY,2019-07-23,51
NF022869,19-140171,2019-09-16,CORRECTION,LEGACY,2019-08-26,21
NF023166,19-134665,2019-09-07,CORRECTION,LEGACY,2019-09-03,4
NF023534,19-136418,2019-09-11,CORRECTION,LEGACY,2019-07-20,53
NF024025,19-157697,2019-10-17,CORRECTION,LEGACY,2019-10-02,15
NF022998,19-150477,2019-10-06,CORRECTION,LEGACY,2019-08-31,36
NF023821,19-160611,2019-10-24,CORRECTION,LEGACY,2019-10-19,5
NF023702,19-164734,2019-10-31,CORRECTION,LEGACY,2019-10-18,13
NF023276,19-148953,2019-10-04,CORRECTION,LEGACY,2019-09-29,5
NF023691,19-160272,2019-10-24,CORRECTION,LEGACY,2019-10-03,21
NF023455,19-164038,2019-10-30,CORRECTION,LEGACY,2019-09-27,33
NF023298,19-154111,2019-10-10,CORRECTION,LEGACY,2019-09-20,20
NF023845,19-164971,2019-10-30,CORRECTION,LEGACY,2019-10-18,12
NF023861,19-162500,2019-10-25,CORRECTION,LEGACY,2019-10-07,18
NF023257,19-153996,2019-10-10,CORRECTION,LEGACY,2019-09-26,14
NF023836,19-164732,2019-10-29,CORRECTION,LEGACY,2019-10-08,21
NF024054,19-165545,2019-10-31,CANCELLATION,LEGACY,2019-10-30,1
NF010820,19-149765,2019-10-06,MODIFICATION,LEGACY,2017-03-18,932
NF023390,19-147513,2019-10-02,CORRECTION,LEGACY,2019-09-14,18
NF023126,19-147680,2019-10-02,CORRECTION,LEGACY,2019-08-30,33
NF023803,19-152079,2019-10-10,CORRECTION,LEGACY,2019-10-04,6
NF023448,19-158175,2019-10-19,CORRECTION,LEGACY,2019-09-18,31
NF023900,19-151024,2019-10-04,CORRECTION,LEGACY,2019-10-03,1
NF023471,19-151910,2019-10-07,CORRECTION,LEGACY,2019-09-19,18
NF023523,19-154909,2019-10-11,CORRECTION,LEGACY,2019-09-23,18
NF023298,19-159902,2019-10-21,CORRECTION,LEGACY,2019-09-20,31
NF023916,19-161800,2019-10-24,CORRECTION,LEGACY,2019-10-17,7
NF023312,19-163963,2019-10-28,CORRECTION,LEGACY,2019-09-13,45
NF023768,19-165962,2019-10-31,CORRECTION,LEGACY,2019-10-25,6
NF023815,19-158888,2019-10-20,CORRECTION,LEGACY,2019-10-17,3
NF023180,19-161280,2019-10-25,CORRECTION,LEGACY,2019-09-27,28
NF022762,19-161364,2019-10-25,CORRECTION,LEGACY,2019-07-27,90
NF023504,19-162016,2019-10-26,CORRECTION,LEGACY,2019-09-26,30
NF023584,19-155267,2019-10-16,CORRECTION,LEGACY,2019-10-10,6
NF023369,19-150746,2019-10-04,CORRECTION,LEGACY,2019-09-16,18
NF023727,19-153252,2019-10-09,CORRECTION,LEGACY,2019-10-01,8
NF024029,19-161020,2019-10-22,CORRECTION,LEGACY,2019-10-04,18
NF023630,19-161390,2019-10-23,CORRECTION,LEGACY,2019-10-04,19
NF024044,19-162414,2019-10-24,CORRECTION,LEGACY,2019-10-17,7
NF023629,19-164451,2019-10-29,CORRECTION,LEGACY,2019-10-04,25
NF023272,19-154031,2019-10-20,CORRECTION,LEGACY,2019-09-26,24
NF023815,19-163179,2019-10-27,CORRECTION,LEGACY,2019-10-17,10
NF023427,19-156482,2019-10-15,CORRECTION,LEGACY,2019-09-26,19
NF023255,19-158293,2019-10-17,CORRECTION,LEGACY,2019-09-24,23
NF023988,19-161887,2019-10-24,CORRECTION,LEGACY,2019-10-22,2
NF024059,19-160624,2019-10-22,CORRECTION,LEGACY,2019-08-23,60
NF023775,19-153623,2019-10-12,CORRECTION,LEGACY,2019-10-09,3
NF023816,19-160497,2019-10-24,CORRECTION,LEGACY,2019-10-18,6
NF023424,19-152105,2019-10-08,CORRECTION,LEGACY,2019-09-26,12
NF023549,19-158584,2019-10-18,CORRECTION,LEGACY,2019-10-01,17
NF023645,19-160618,2019-10-22,CORRECTION,LEGACY,2019-10-21,1
NF023868,19-164529,2019-10-29,CORRECTION,LEGACY,2019-10-28,1
NF023180,19-164369,2019-10-31,CORRECTION,LEGACY,2019-09-27,34
NF023669,19-160903,2019-10-22,CORRECTION,LEGACY,2019-10-04,18
NF023233,19-161618,2019-10-23,CANCELLATION,LEGACY,2019-09-27,26
NF024388,19-173570,2019-11-19,CORRECTION,LEGACY,2019-11-18,1
NF024066,19-177443,2019-11-26,CORRECTION,LEGACY,2019-11-08,18
NF023995,19-174284,2019-11-20,CORRECTION,LEGACY,2019-10-14,37
NF024178,19-177427,2019-11-28,CORRECTION,LEGACY,2019-11-20,8
NF023712,19-178887,2019-11-30,CORRECTION,LEGACY,2019-10-24,37
NF023453,19-167865,2019-11-08,CORRECTION,LEGACY,2019-09-26,43
NF024119,19-177228,2019-11-26,CORRECTION,LEGACY,2019-11-07,19
NF023574,19-171100,2019-11-13,CORRECTION,LEGACY,2019-10-18,26
NF024273,19-171317,2019-11-14,CORRECTION,LEGACY,2019-11-08,6
NF023369,19-166617,2019-11-05,CORRECTION,LEGACY,2019-09-16,50
NF023972,19-165954,2019-11-02,CORRECTION,LEGACY,2019-10-27,6
NF023584,19-167905,2019-11-08,CORRECTION,LEGACY,2019-10-10,29
NF023706,19-171811,2019-11-16,CORRECTION,LEGACY,2019-10-20,27
NF023830,19-172440,2019-11-20,CORRECTION,LEGACY,2019-10-31,20
NF024200,19-177077,2019-11-26,CANCELLATION,LEGACY,2019-11-04,22
NF023645,19-167440,2019-11-06,CORRECTION,LEGACY,2019-10-21,16
NF023983,19-169799,2019-11-12,CORRECTION,LEGACY,2019-10-15,28
NF023200,19-166765,2019-11-07,CORRECTION,LEGACY,2019-09-18,50
NF024171,19-169780,2019-11-14,CORRECTION,LEGACY,2019-11-07,7
NF024373,19-173166,2019-11-20,CORRECTION,LEGACY,2019-11-10,10
NF023824,19-175372,2019-11-23,CORRECTION,LEGACY,2019-10-24,30
NF023799,19-178268,2019-11-29,CORRECTION,LEGACY,2019-10-31,29
NF023453,19-165096,2019-11-01,CORRECTION,LEGACY,2019-09-26,36
NF024320,19-173793,2019-11-21,CORRECTION,LEGACY,2019-11-07,14
NF024082,19-178754,2019-11-30,CORRECTION,LEGACY,2019-11-07,23
NF014009,19-172745,2019-11-28,MODIFICATION,LEGACY,2017-11-24,734
NF024026,19-166515,2019-11-04,CORRECTION,LEGACY,2019-10-02,33
NF023839,19-169445,2019-11-08,CORRECTION,LEGACY,2019-10-11,28
NF024391,19-174521,2019-11-20,CORRECTION,LEGACY,2019-11-19,1
NF024064,19-178495,2019-11-28,CORRECTION,LEGACY,2019-11-06,22
NF024058,19-169230,2019-11-08,CORRECTION,LEGACY,2019-10-17,22
NF024000,19-179175,2019-11-29,CORRECTION,LEGACY,2019-10-31,29
NF023694,19-166703,2019-11-07,CORRECTION,LEGACY,2019-10-05,33
NF023884,19-171689,2019-11-16,CORRECTION,LEGACY,2019-10-16,31
NF023714,19-178037,2019-11-29,CORRECTION,LEGACY,2019-10-30,30
NF024340,19-169787,2019-11-12,CORRECTION,LEGACY,2019-11-08,4
NF023847,19-172250,2019-11-15,CORRECTION,LEGACY,2019-10-21,25
NF024337,19-175871,2019-11-22,CORRECTION,LEGACY,2019-10-30,23
NF023715,19-168668,2019-11-09,CORRECTION,LEGACY,2019-10-31,9
NF024337,19-166633,2019-11-05,CORRECTION,LEGACY,2019-10-30,6
NF023919,19-168304,2019-11-07,CORRECTION,LEGACY,2019-10-22,16
NF023663,19-173727,2019-11-19,CORRECTION,LEGACY,2019-10-25,25
NF024079,19-178454,2019-11-28,CORRECTION,LEGACY,2019-11-27,1
NF024328,19-176392,2019-11-27,CORRECTION,LEGACY,2019-11-21,6
